Date,Open,High,Low,Close
20190101, 361.85, 364.35, 360.6, 363.7
20190101, 363.55, 363.7, 360.0, 361.0
20190101, 361.1, 362.15, 360.85, 361.95
20190101, 361.75, 362.3, 361.35, 361.5
20190101, 361.5, 362.25, 361.15, 362.35
20190101, 362.35, 363.2, 362.0, 363.0
20190101, 362.95, 363.85, 362.9, 363.5
20190101, 363.5, 363.8, 363.0, 363.4
20190101, 363.4, 363.75, 362.35, 362.5
20190101, 362.5, 363.65, 362.5, 363.05
20190101, 363.25, 364.3, 363.0, 363.75
20190101, 363.95, 367.0, 363.75, 366.4
20190101, 366.4, 369.3, 366.4, 368.5
20190102, 365.75, 365.75, 359.5, 360.1
20190102, 360.2, 361.4, 360.0, 360.4
20190102, 360.35, 362.2, 360.35, 361.65
20190102, 361.75, 362.45, 360.55, 360.8
20190102, 360.85, 362.25, 360.6, 361.0
20190102, 361.0, 361.2, 358.6, 359.6
20190102, 359.6, 359.85, 354.75, 354.55
20190102, 354.5, 355.4, 350.7, 352.75
20190102, 352.65, 353.0, 351.0, 351.3
20190102, 351.3, 351.55, 349.15, 349.7
20190102, 349.7, 350.7, 349.2, 350.05
20190102, 350.1, 360.0, 346.75, 356.45
20190102, 356.2, 358.05, 355.3, 355.65
20190103, 353.0, 353.9, 348.5, 351.0
20190103, 351.0, 351.25, 349.2, 350.55
20190103, 350.6, 353.0, 349.2, 349.9
20190103, 350.0, 350.85, 349.5, 349.7
20190103, 349.8, 350.5, 348.15, 349.75
20190103, 350.0, 351.4, 349.35, 351.0
20190103, 351.0, 352.65, 351.0, 351.65
20190103, 351.6, 354.8, 351.3, 352.35
20190103, 352.45, 352.9, 352.1, 353.0
20190103, 353.0, 353.0, 350.5, 350.7
20190103, 350.75, 352.0, 350.2, 351.25
20190103, 351.3, 353.5, 351.1, 351.75
20190103, 351.7, 353.0, 351.7, 351.8
20190104, 352.0, 356.2, 351.5, 355.0
20190104, 355.0, 357.5, 353.75, 357.05
20190104, 357.0, 357.9, 355.2, 357.15
20190104, 357.1, 360.0, 357.05, 359.65
20190104, 359.55, 360.9, 359.0, 359.3
20190104, 359.25, 359.5, 358.4, 359.5
20190104, 359.4, 361.35, 359.05, 360.5
20190104, 360.55, 360.65, 358.05, 358.95
20190104, 359.05, 359.25, 358.05, 358.5
20190104, 358.5, 358.5, 357.05, 358.1
20190104, 358.1, 361.7, 358.0, 360.0
20190104, 360.05, 360.2, 358.3, 359.65
20190104, 359.75, 360.45, 358.6, 359.45
20190107, 360.0, 361.1, 358.2, 360.25
20190107, 360.1, 362.8, 359.1, 361.85
20190107, 361.8, 362.4, 359.85, 360.0
20190107, 359.95, 360.1, 359.15, 359.85
20190107, 359.9, 360.5, 359.25, 359.45
20190107, 359.65, 360.35, 359.15, 360.05
20190107, 360.05, 360.05, 357.4, 359.5
20190107, 359.5, 359.65, 358.2, 358.8
20190107, 359.0, 359.5, 357.65, 357.85
20190107, 357.8, 358.55, 357.4, 358.1
20190107, 358.15, 358.4, 357.0, 357.2
20190107, 357.25, 357.4, 354.0, 355.65
20190107, 355.65, 357.75, 354.2, 354.75
20190108, 355.55, 355.9, 350.6, 351.15
20190108, 351.4, 353.4, 351.15, 353.55
20190108, 353.45, 355.5, 353.0, 352.9
20190108, 353.2, 353.3, 351.25, 352.65
20190108, 352.5, 353.65, 352.25, 352.55
20190108, 352.7, 353.05, 351.95, 353.1
20190108, 353.1, 353.8, 353.0, 353.35
20190108, 353.45, 354.2, 351.65, 352.5
20190108, 352.55, 353.6, 351.9, 353.2
20190108, 353.25, 355.2, 353.25, 354.35
20190108, 354.35, 355.0, 353.8, 354.15
20190108, 354.4, 354.5, 351.75, 351.95
20190108, 352.1, 352.2, 350.05, 350.55
20190109, 351.5, 351.5, 348.0, 350.8
20190109, 350.75, 351.5, 348.25, 347.15
20190109, 347.05, 347.45, 344.15, 345.3
20190109, 345.25, 345.3, 341.7, 343.15
20190109, 343.05, 344.5, 341.85, 344.05
20190109, 344.05, 344.65, 342.7, 342.9
20190109, 342.9, 343.6, 342.05, 342.95
20190109, 342.8, 344.5, 342.4, 343.9
20190109, 343.9, 344.1, 341.8, 341.95
20190109, 341.95, 342.0, 338.0, 340.45
20190109, 340.45, 340.65, 339.0, 339.8
20190109, 339.8, 341.25, 339.8, 340.0
