Date,Open,High,Low,Close
20190101, 358.3, 359.85, 357.35, 359.15
20190101, 359.15, 359.35, 356.95, 357.6
20190101, 357.6, 360.75, 357.6, 360.15
20190101, 360.15, 360.95, 359.2, 359.75
20190101, 359.75, 363.3, 359.7, 362.7
20190101, 362.7, 363.25, 362.0, 362.4
20190101, 362.45, 362.6, 362.0, 362.3
20190101, 362.3, 362.65, 361.95, 362.25
20190101, 362.25, 362.5, 361.3, 361.6
20190101, 361.6, 362.3, 361.0, 362.05
20190101, 362.25, 363.5, 362.0, 362.55
20190101, 362.6, 364.0, 362.5, 361.85
20190101, 361.85, 362.65, 361.2, 361.9
20190102, 361.9, 361.9, 354.2, 354.6
20190102, 354.75, 356.15, 354.35, 355.55
20190102, 355.55, 356.7, 352.55, 354.15
20190102, 354.15, 354.6, 353.3, 353.35
20190102, 353.35, 354.2, 352.0, 353.1
20190102, 353.1, 353.85, 352.95, 353.65
20190102, 353.65, 353.65, 352.3, 352.55
20190102, 352.5, 353.0, 351.5, 352.5
20190102, 352.5, 352.9, 351.85, 351.95
20190102, 351.85, 352.2, 348.6, 349.2
20190102, 349.3, 350.6, 347.55, 349.8
20190102, 350.05, 351.0, 348.75, 350.1
20190102, 349.95, 350.9, 349.05, 350.0
20190103, 350.35, 351.6, 346.95, 351.6
20190103, 351.6, 351.75, 349.55, 350.05
20190103, 350.2, 351.95, 349.7, 350.8
20190103, 350.75, 351.9, 350.5, 351.2
20190103, 351.2, 351.55, 351.0, 351.25
20190103, 351.25, 352.3, 351.25, 351.5
20190103, 351.5, 352.45, 350.5, 351.1
20190103, 351.1, 351.5, 351.0, 351.15
20190103, 351.2, 351.9, 351.0, 351.1
20190103, 351.0, 351.1, 349.7, 350.35
20190103, 350.35, 351.0, 349.5, 350.5
20190103, 350.5, 351.0, 349.6, 349.9
20190103, 349.9, 350.45, 349.5, 350.0
20190104, 348.05, 351.7, 347.55, 349.55
20190104, 349.55, 352.3, 349.25, 350.15
20190104, 350.45, 351.0, 349.1, 349.35
20190104, 349.4, 350.75, 348.4, 348.6
20190104, 348.7, 349.75, 347.8, 349.5
20190104, 349.55, 350.45, 349.15, 350.1
20190104, 350.2, 351.7, 349.3, 351.25
20190104, 351.3, 353.0, 350.35, 353.15
20190104, 353.15, 353.5, 351.2, 351.3
20190104, 351.35, 351.45, 350.0, 350.95
20190104, 350.95, 352.65, 350.9, 352.15
20190104, 352.25, 353.9, 351.4, 352.8
20190104, 352.8, 353.7, 352.25, 353.0
20190107, 353.4, 354.55, 352.15, 351.65
20190107, 351.65, 353.55, 351.1, 352.8
20190107, 352.8, 355.8, 352.8, 354.85
20190107, 354.6, 355.2, 353.0, 355.0
20190107, 355.0, 355.15, 354.9, 355.0
20190107, 355.0, 356.8, 354.5, 356.2
20190107, 356.15, 356.65, 356.0, 356.1
20190107, 356.1, 356.8, 356.0, 356.65
20190107, 356.55, 356.65, 354.6, 354.55
20190107, 354.55, 355.25, 353.85, 354.5
20190107, 354.55, 356.15, 354.5, 355.75
20190107, 355.8, 358.0, 355.4, 357.75
20190107, 357.65, 358.05, 355.8, 355.75
20190108, 356.75, 359.15, 355.75, 357.35
20190108, 357.5, 357.8, 354.5, 356.1
20190108, 356.1, 356.85, 355.9, 356.4
20190108, 356.55, 356.55, 353.25, 353.3
20190108, 353.15, 355.3, 352.8, 354.9
20190108, 354.9, 355.5, 354.15, 355.0
20190108, 354.9, 355.3, 354.8, 355.0
20190108, 354.95, 355.15, 354.9, 355.05
20190108, 355.0, 356.0, 354.3, 355.25
20190108, 355.2, 355.45, 353.95, 354.1
20190108, 354.15, 355.0, 353.7, 353.5
20190108, 353.5, 355.0, 353.1, 354.95
20190108, 354.75, 355.0, 353.75, 353.35
20190109, 355.15, 356.25, 353.8, 354.2
20190109, 354.25, 354.25, 350.6, 351.5
20190109, 351.5, 351.55, 348.55, 349.1
20190109, 349.15, 349.45, 344.2, 345.45
20190109, 345.5, 345.65, 342.0, 343.2
20190109, 343.15, 343.5, 339.5, 339.8
20190109, 339.85, 341.5, 338.05, 339.75
20190109, 339.7, 342.6, 339.6, 342.4
20190109, 342.45, 342.5, 341.5, 341.9
20190109, 341.9, 341.95, 339.0, 341.55
20190109, 341.6, 342.5, 341.1, 341.55
20190109, 341.55, 341.75, 340.8, 340.6
20190109, 340.5, 342.5, 340.4, 341.0
20190110, 342.7, 343.15, 339.4, 341.05
20190110, 341.2, 342.0, 340.2, 340.5
20190110, 340.5, 342.5, 340.3, 341.2
20190110, 341.25, 342.15, 339.75, 342.0
20190110, 342.0, 342.05, 339.25, 339.75
20190110, 339.75, 340.95, 339.4, 340.15
20190110, 340.05, 341.25, 340.0, 341.15
20190110, 341.15, 342.4, 341.0, 342.15
20190110, 342.2, 343.35, 341.0, 342.2
20190110, 342.35, 342.5, 341.55, 342.15
20190110, 342.25, 342.25, 340.4, 341.2
20190110, 341.15, 344.5, 341.15, 344.3
20190110, 344.25, 345.1, 343.75, 343.85
20190111, 343.0, 344.8, 341.3, 342.25
20190111, 342.25, 342.35, 340.55, 340.7
20190111, 340.65, 340.9, 339.6, 340.2
20190111, 340.05, 340.45, 339.6, 340.1
20190111, 340.05, 340.3, 339.05, 340.05
20190111, 340.0, 340.7, 339.7, 340.1
20190111, 340.05, 340.15, 338.4, 338.9
20190111, 338.9, 339.4, 338.5, 339.05
20190111, 339.05, 339.15, 337.65, 338.35
20190111, 338.35, 339.45, 338.25, 338.85
20190111, 338.85, 339.25, 337.9, 338.95
20190111, 338.9, 339.2, 338.2, 339.0
20190111, 339.0, 339.0, 337.35, 337.7
20190114, 338.3, 338.3, 333.2, 334.1
20190114, 334.1, 334.3, 330.35, 331.0
20190114, 331.0, 331.0, 329.4, 330.0
20190114, 330.1, 330.45, 328.6, 329.1
20190114, 329.05, 329.4, 327.2, 327.4
20190114, 327.4, 328.0, 325.35, 326.15
20190114, 326.15, 326.25, 323.3, 324.0
20190114, 324.1, 324.3, 322.15, 324.2
20190114, 324.25, 325.0, 323.95, 324.85
20190114, 324.95, 325.0, 323.2, 324.35
20190114, 324.35, 325.55, 323.9, 324.7
20190114, 324.7, 325.5, 324.1, 325.0
20190114, 324.95, 325.3, 324.1, 325.15
20190115, 324.45, 326.95, 322.4, 324.7
20190115, 324.7, 325.15, 324.05, 324.75
20190115, 324.75, 324.85, 323.2, 324.7
20190115, 324.7, 325.4, 324.4, 324.45
20190115, 324.5, 324.5, 324.0, 324.2
20190115, 324.15, 324.75, 324.1, 324.75
20190115, 324.65, 324.8, 324.5, 324.55
20190115, 324.5, 324.7, 324.25, 324.3
20190115, 324.25, 324.6, 324.0, 324.4
20190115, 324.45, 324.45, 322.05, 323.4
20190115, 323.35, 324.05, 323.35, 323.75
20190115, 323.75, 324.65, 323.55, 324.4
20190115, 324.35, 325.8, 324.25, 325.2
20190116, 325.45, 328.5, 325.4, 327.5
20190116, 327.45, 329.9, 327.1, 329.8
20190116, 329.85, 330.75, 328.7, 330.4
20190116, 330.45, 331.3, 328.2, 328.7
20190116, 328.7, 329.95, 327.9, 329.75
