Date,Open,High,Low,Close
20190101, 961.8, 965.0, 952.85, 959.0
20190101, 959.0, 959.95, 957.4, 958.1
20190101, 957.8, 959.0, 957.1, 959.45
20190101, 959.4, 961.9, 958.65, 961.0
20190101, 961.0, 961.0, 958.2, 959.5
20190101, 959.1, 960.3, 958.85, 960.0
20190101, 959.7, 962.0, 959.5, 959.95
20190101, 959.9, 960.3, 959.25, 960.0
20190101, 959.8, 960.25, 959.7, 959.05
20190101, 958.7, 960.0, 957.6, 958.95
20190101, 959.0, 960.7, 958.2, 959.95
20190101, 960.0, 960.45, 958.6, 959.95
20190101, 960.25, 960.4, 959.15, 960.0
20190102, 959.0, 962.0, 957.45, 959.7
20190102, 959.65, 960.15, 957.5, 959.75
20190102, 959.7, 960.55, 959.25, 959.9
20190102, 959.9, 960.45, 959.75, 959.85
20190102, 959.8, 960.3, 958.65, 959.85
20190102, 959.7, 960.25, 955.2, 956.7
20190102, 956.7, 957.25, 950.1, 950.0
20190102, 950.0, 953.6, 946.7, 948.3
20190102, 948.35, 949.8, 941.45, 944.5
20190102, 944.15, 947.8, 939.15, 944.5
20190102, 944.7, 948.5, 941.35, 948.35
20190102, 948.4, 950.0, 943.4, 944.9
20190102, 944.9, 948.85, 943.9, 946.1
20190103, 949.25, 953.6, 945.8, 951.05
20190103, 951.05, 959.95, 951.05, 959.0
20190103, 959.0, 960.0, 953.25, 953.0
20190103, 953.0, 955.0, 952.5, 952.6
20190103, 952.6, 953.0, 949.45, 950.1
20190103, 950.1, 954.0, 949.9, 951.4
20190103, 951.15, 952.8, 949.3, 950.35
20190103, 950.35, 953.0, 949.0, 951.25
20190103, 951.25, 951.7, 949.0, 949.3
20190103, 949.3, 950.25, 945.1, 946.15
20190103, 946.1, 950.0, 946.1, 948.0
20190103, 947.95, 948.8, 945.0, 948.5
20190103, 948.5, 950.0, 947.45, 949.0
20190104, 945.35, 950.55, 938.95, 940.35
20190104, 940.35, 940.35, 934.45, 935.7
20190104, 935.7, 937.0, 926.0, 928.0
20190104, 928.0, 937.9, 925.0, 933.45
20190104, 933.7, 936.35, 933.05, 935.0
