Date,Open,High,Low,Close
20190101, 2127.55, 2127.85, 2112.6, 2115.3
20190101, 2115.35, 2116.3, 2111.0, 2114.3
20190101, 2114.0, 2115.0, 2110.0, 2111.25
20190101, 2111.0, 2117.05, 2105.6, 2116.0
20190101, 2115.7, 2117.0, 2112.0, 2114.9
20190101, 2114.9, 2115.95, 2114.35, 2115.0
20190101, 2115.0, 2117.85, 2107.75, 2111.5
20190101, 2111.55, 2113.7, 2108.4, 2112.9
20190101, 2112.95, 2113.9, 2108.6, 2113.55
20190101, 2113.8, 2121.5, 2113.8, 2118.0
20190101, 2118.1, 2137.0, 2117.2, 2137.5
20190101, 2137.45, 2149.0, 2135.65, 2149.2
20190101, 2149.2, 2151.0, 2147.0, 2149.0
20190102, 2141.2, 2144.8, 2132.25, 2138.0
20190102, 2137.95, 2144.0, 2135.35, 2142.4
20190102, 2142.95, 2147.5, 2135.2, 2135.6
20190102, 2135.5, 2135.5, 2131.45, 2133.6
20190102, 2133.35, 2140.0, 2128.9, 2137.95
20190102, 2137.65, 2138.95, 2132.1, 2137.85
20190102, 2138.0, 2138.0, 2127.05, 2126.5
20190102, 2126.5, 2128.8, 2119.7, 2126.95
20190102, 2126.95, 2128.0, 2123.7, 2125.05
20190102, 2125.25, 2130.0, 2121.85, 2130.0
20190102, 2130.0, 2133.45, 2122.7, 2130.95
20190102, 2130.95, 2133.5, 2122.6, 2125.35
20190102, 2124.75, 2127.55, 2121.1, 2127.0
20190103, 2125.1, 2128.25, 2111.1, 2114.65
20190103, 2114.65, 2119.3, 2112.6, 2118.25
20190103, 2118.3, 2118.7, 2112.5, 2113.3
20190103, 2112.55, 2113.0, 2106.6, 2109.85
20190103, 2109.95, 2111.9, 2103.0, 2104.7
20190103, 2104.85, 2110.4, 2103.0, 2110.15
20190103, 2110.0, 2114.0, 2107.0, 2110.7
20190103, 2110.7, 2115.0, 2108.1, 2111.45
20190103, 2111.45, 2112.85, 2107.3, 2109.75
20190103, 2109.75, 2116.9, 2108.0, 2110.45
20190103, 2110.4, 2117.55, 2110.4, 2114.85
20190103, 2114.85, 2119.0, 2109.45, 2110.85
20190103, 2111.6, 2115.0, 2108.85, 2110.0
20190104, 2115.65, 2128.5, 2115.65, 2123.0
20190104, 2123.0, 2123.0, 2116.2, 2119.8
20190104, 2119.8, 2120.6, 2112.4, 2116.05
20190104, 2116.05, 2124.95, 2115.15, 2120.5
20190104, 2120.5, 2122.5, 2117.2, 2121.75
20190104, 2121.4, 2122.0, 2115.3, 2117.65
20190104, 2117.45, 2123.15, 2116.15, 2121.6
20190104, 2121.75, 2124.85, 2120.6, 2121.05
20190104, 2121.05, 2123.7, 2118.4, 2122.25
20190104, 2122.25, 2122.6, 2114.0, 2114.2
20190104, 2114.35, 2119.4, 2110.35, 2118.5
20190104, 2118.6, 2120.0, 2114.3, 2117.65
20190104, 2117.65, 2119.8, 2116.2, 2118.0
20190107, 2127.4, 2135.35, 2126.0, 2128.0
20190107, 2128.0, 2131.95, 2125.3, 2130.0
20190107, 2129.9, 2132.9, 2126.0, 2130.0
20190107, 2130.25, 2134.15, 2129.45, 2133.5
20190107, 2133.4, 2135.0, 2126.15, 2127.05
20190107, 2127.9, 2130.3, 2126.0, 2129.0
20190107, 2129.0, 2132.9, 2127.7, 2132.3
20190107, 2132.3, 2132.95, 2129.0, 2131.6
20190107, 2132.0, 2134.0, 2130.0, 2133.15
20190107, 2133.1, 2134.8, 2129.5, 2133.0
20190107, 2133.0, 2134.0, 2127.1, 2127.0
20190107, 2127.3, 2127.7, 2119.05, 2119.8
20190107, 2119.6, 2122.15, 2119.05, 2120.5
20190108, 2122.0, 2123.5, 2104.4, 2110.0
20190108, 2110.05, 2111.95, 2106.0, 2111.25
20190108, 2111.25, 2114.4, 2109.3, 2111.65
20190108, 2111.4, 2111.6, 2105.3, 2107.2
20190108, 2107.05, 2107.05, 2100.0, 2101.95
20190108, 2101.6, 2105.0, 2101.0, 2104.0
20190108, 2104.15, 2108.0, 2101.0, 2103.25
20190108, 2103.2, 2104.9, 2100.05, 2101.0
20190108, 2101.0, 2105.0, 2096.65, 2103.6
20190108, 2104.0, 2106.0, 2100.2, 2103.45
20190108, 2103.95, 2106.45, 2101.0, 2101.1
20190108, 2100.5, 2104.95, 2099.0, 2102.5
20190108, 2102.45, 2106.6, 2100.65, 2102.9
20190109, 2117.0, 2121.35, 2110.0, 2110.85
20190109, 2111.95, 2111.95, 2106.4, 2110.15
20190109, 2110.15, 2113.1, 2108.1, 2108.95
20190109, 2109.0, 2110.8, 2106.9, 2110.0
20190109, 2109.9, 2111.0, 2108.05, 2109.2
20190109, 2109.2, 2110.35, 2108.05, 2110.25
20190109, 2110.3, 2112.6, 2108.55, 2111.0
20190109, 2111.7, 2114.35, 2111.0, 2114.55
20190109, 2114.9, 2119.0, 2113.25, 2117.05
20190109, 2117.25, 2118.25, 2102.6, 2110.0
20190109, 2110.05, 2113.3, 2106.75, 2112.9
20190109, 2113.2, 2120.0, 2111.5, 2116.35
20190109, 2116.35, 2118.95, 2114.95, 2116.8
20190110, 2116.8, 2117.0, 2092.65, 2109.0
20190110, 2109.0, 2119.5, 2107.5, 2115.5
20190110, 2115.5, 2123.8, 2113.55, 2119.0
20190110, 2119.0, 2120.0, 2112.35, 2113.8
20190110, 2113.8, 2119.8, 2112.2, 2119.45
20190110, 2119.45, 2122.0, 2116.8, 2119.0
20190110, 2119.0, 2122.0, 2118.0, 2119.25
20190110, 2120.0, 2121.25, 2118.0, 2120.0
20190110, 2120.4, 2120.4, 2113.6, 2119.2
20190110, 2120.0, 2120.9, 2116.1, 2118.85
20190110, 2119.0, 2119.0, 2110.65, 2112.0
20190110, 2112.15, 2114.1, 2108.25, 2108.3
20190110, 2108.4, 2111.0, 2104.7, 2106.6
20190111, 2111.0, 2123.9, 2108.5, 2122.3
20190111, 2122.9, 2124.0, 2117.45, 2116.0
20190111, 2116.0, 2119.95, 2115.35, 2117.45
20190111, 2117.45, 2119.7, 2115.1, 2118.6
20190111, 2118.6, 2120.0, 2116.8, 2118.85
20190111, 2118.8, 2119.45, 2112.7, 2116.0
20190111, 2115.9, 2116.5, 2113.1, 2114.05
20190111, 2114.7, 2116.0, 2110.15, 2113.85
20190111, 2114.6, 2115.5, 2110.3, 2109.1
20190111, 2109.1, 2113.2, 2108.0, 2111.95
20190111, 2111.25, 2115.0, 2109.15, 2113.0
20190111, 2113.05, 2115.0, 2111.5, 2112.9
20190111, 2112.9, 2115.4, 2108.45, 2115.0
20190114, 2108.4, 2108.4, 2098.45, 2101.05
20190114, 2101.0, 2103.0, 2098.6, 2101.6
20190114, 2101.65, 2103.2, 2099.55, 2102.6
20190114, 2102.6, 2103.5, 2100.0, 2100.6
20190114, 2100.6, 2101.0, 2099.55, 2101.0
20190114, 2101.05, 2103.0, 2099.9, 2102.0
20190114, 2102.0, 2105.3, 2101.85, 2104.0
20190114, 2104.25, 2106.85, 2103.25, 2104.35
20190114, 2104.2, 2106.0, 2102.1, 2104.35
20190114, 2104.35, 2105.7, 2101.85, 2104.0
20190114, 2104.15, 2106.05, 2101.95, 2105.1
20190114, 2105.05, 2105.1, 2099.55, 2100.4
20190114, 2099.5, 2104.5, 2099.5, 2104.9
20190115, 2106.05, 2114.7, 2102.0, 2108.1
20190115, 2108.35, 2111.0, 2105.15, 2109.7
20190115, 2109.5, 2110.9, 2107.1, 2109.75
20190115, 2109.7, 2116.85, 2109.3, 2116.5
20190115, 2116.4, 2126.0, 2116.4, 2121.8
20190115, 2122.85, 2123.25, 2118.6, 2121.0
20190115, 2120.45, 2122.0, 2119.5, 2121.7
20190115, 2121.75, 2123.9, 2121.0, 2122.5
20190115, 2122.45, 2123.5, 2121.0, 2122.55
20190115, 2122.65, 2122.8, 2117.35, 2119.75
20190115, 2119.75, 2126.0, 2118.95, 2124.0
20190115, 2124.0, 2126.5, 2120.55, 2121.9
20190115, 2121.9, 2122.9, 2116.0, 2117.0
20190116, 2121.3, 2125.0, 2112.55, 2113.6
20190116, 2113.9, 2118.2, 2113.0, 2113.8
20190116, 2113.45, 2118.8, 2108.25, 2117.8
20190116, 2117.65, 2120.0, 2116.0, 2117.7
20190116, 2117.95, 2119.95, 2115.1, 2118.4
20190116, 2118.45, 2124.3, 2117.5, 2122.0
