Date,Open,High,Low,Close
20190101, 254.0, 255.15, 253.0, 254.6
20190101, 254.5, 255.35, 252.5, 253.6
20190101, 253.65, 254.1, 252.9, 253.6
20190101, 253.6, 254.0, 253.5, 253.6
20190101, 253.6, 253.85, 253.2, 253.4
20190101, 253.45, 253.85, 253.25, 253.75
20190101, 253.75, 253.95, 253.15, 253.6
20190101, 253.7, 253.9, 253.45, 253.7
20190101, 253.7, 253.85, 253.1, 253.25
20190101, 253.1, 253.9, 253.1, 253.7
20190101, 253.75, 255.1, 253.6, 254.75
20190101, 254.75, 256.5, 254.6, 256.35
20190101, 256.35, 258.35, 256.05, 257.05
20190102, 254.95, 256.05, 253.7, 253.7
20190102, 253.7, 254.5, 250.3, 251.4
20190102, 251.3, 253.45, 251.15, 252.75
20190102, 252.7, 253.45, 251.55, 251.85
20190102, 251.9, 251.9, 250.65, 251.25
20190102, 251.1, 251.55, 250.3, 250.6
20190102, 250.55, 250.75, 246.75, 246.8
20190102, 246.8, 247.45, 245.4, 246.85
20190102, 246.85, 247.2, 244.7, 245.9
20190102, 245.85, 247.0, 245.5, 246.65
20190102, 246.8, 248.5, 246.25, 248.1
20190102, 248.1, 258.3, 247.0, 255.2
20190102, 255.4, 258.5, 254.5, 254.6
20190103, 253.4, 253.9, 248.5, 249.6
20190103, 249.5, 249.75, 247.2, 248.2
20190103, 248.2, 249.75, 248.0, 248.45
20190103, 248.35, 248.8, 248.05, 248.05
20190103, 248.0, 248.45, 247.5, 248.0
20190103, 248.0, 250.7, 247.95, 250.0
20190103, 250.05, 251.35, 249.95, 250.05
20190103, 250.0, 251.55, 250.0, 250.1
20190103, 250.3, 250.4, 248.75, 249.25
20190103, 249.25, 249.45, 248.25, 248.45
20190103, 248.4, 249.15, 248.0, 248.15
20190103, 248.15, 249.3, 248.1, 248.3
20190103, 248.3, 249.75, 247.5, 247.65
20190104, 247.3, 249.25, 246.35, 248.25
20190104, 248.2, 250.2, 248.0, 250.1
20190104, 250.1, 250.9, 249.6, 250.25
20190104, 250.2, 251.25, 249.6, 250.7
20190104, 250.75, 250.95, 249.9, 249.95
20190104, 249.8, 250.35, 249.55, 250.0
20190104, 250.0, 251.25, 250.0, 251.0
20190104, 251.0, 251.0, 248.25, 248.55
20190104, 248.6, 248.85, 247.8, 248.3
20190104, 248.3, 248.35, 247.05, 247.65
20190104, 247.55, 249.9, 246.9, 249.25
20190104, 249.4, 249.4, 247.8, 247.3
20190104, 247.3, 249.2, 247.2, 248.5
20190107, 249.0, 250.5, 248.15, 249.65
20190107, 249.5, 251.0, 248.7, 251.05
20190107, 251.0, 251.9, 250.5, 250.5
20190107, 250.55, 250.55, 249.5, 250.0
20190107, 249.95, 250.4, 249.5, 249.6
20190107, 249.65, 249.8, 249.25, 249.5
20190107, 249.5, 250.3, 248.45, 250.1
20190107, 250.15, 250.75, 249.5, 249.65
20190107, 249.65, 250.25, 249.0, 249.2
20190107, 249.1, 249.6, 249.0, 249.4
20190107, 249.4, 249.9, 249.1, 249.05
20190107, 249.25, 250.0, 248.5, 249.75
20190107, 249.75, 250.5, 249.15, 249.8
20190108, 249.4, 249.7, 246.8, 247.95
20190108, 248.0, 249.7, 247.85, 249.05
20190108, 249.05, 249.65, 248.0, 248.05
20190108, 248.1, 248.1, 246.4, 247.65
20190108, 247.65, 247.95, 247.1, 247.55
20190108, 247.55, 247.85, 247.3, 247.55
20190108, 247.55, 247.95, 247.45, 248.15
20190108, 248.1, 248.5, 247.4, 247.75
20190108, 247.75, 248.4, 247.5, 248.2
20190108, 248.2, 249.35, 248.05, 248.8
20190108, 248.85, 249.35, 248.6, 248.35
20190108, 248.45, 249.1, 248.05, 248.1
20190108, 248.15, 248.15, 247.0, 247.0
20190109, 245.9, 247.65, 245.3, 246.85
20190109, 246.55, 246.8, 244.4, 244.55
20190109, 244.4, 244.6, 241.1, 241.75
20190109, 241.8, 242.0, 239.6, 240.65
20190109, 240.7, 241.6, 239.75, 241.65
20190109, 241.7, 241.75, 240.8, 240.8
20190109, 240.8, 241.35, 239.8, 240.55
20190109, 240.55, 241.8, 240.35, 241.6
20190109, 241.6, 241.7, 240.2, 240.1
20190109, 240.05, 240.4, 238.0, 239.95
20190109, 239.9, 240.2, 239.25, 239.95
20190109, 239.85, 240.65, 238.75, 239.2
20190109, 238.9, 239.45, 238.0, 238.25
20190110, 236.55, 237.95, 233.05, 233.7
20190110, 233.6, 234.05, 232.5, 232.95
20190110, 232.9, 234.5, 232.6, 234.15
20190110, 234.15, 234.6, 232.15, 232.4
20190110, 232.5, 233.15, 232.0, 231.85
20190110, 231.8, 232.25, 231.55, 232.15
20190110, 232.15, 232.8, 231.2, 232.0
20190110, 232.05, 232.5, 231.7, 232.4
20190110, 232.4, 232.45, 231.9, 232.05
20190110, 232.1, 233.6, 232.0, 233.25
20190110, 233.25, 233.45, 232.4, 232.7
20190110, 232.65, 233.55, 232.5, 233.1
20190110, 233.0, 233.35, 232.05, 232.4
20190111, 231.85, 235.0, 231.3, 234.15
20190111, 234.2, 235.3, 233.95, 234.5
20190111, 234.55, 235.1, 234.3, 234.5
20190111, 234.55, 235.3, 234.35, 234.55
20190111, 234.6, 234.85, 233.1, 233.6
20190111, 233.65, 234.0, 233.05, 233.8
20190111, 233.8, 234.3, 233.35, 233.4
20190111, 233.4, 234.45, 233.2, 234.1
20190111, 234.05, 234.35, 233.5, 233.55
20190111, 233.55, 234.1, 232.8, 233.15
20190111, 233.2, 234.2, 233.15, 233.75
20190111, 233.75, 234.4, 233.25, 233.9
20190111, 233.85, 233.9, 232.45, 232.6
20190114, 235.5, 236.3, 233.3, 234.6
20190114, 234.6, 235.0, 232.6, 233.05
20190114, 233.05, 234.05, 233.0, 233.9
20190114, 233.9, 235.35, 233.5, 233.65
20190114, 233.6, 234.45, 233.35, 233.65
20190114, 233.65, 233.9, 232.75, 233.2
20190114, 233.2, 233.7, 233.0, 233.25
20190114, 233.3, 233.65, 232.95, 233.3
20190114, 233.3, 234.45, 233.1, 234.15
20190114, 234.25, 234.35, 232.9, 233.5
20190114, 233.55, 233.8, 233.25, 233.6
20190114, 233.35, 234.6, 233.3, 234.3
20190114, 234.35, 234.35, 233.0, 233.0
20190115, 234.35, 238.0, 234.3, 236.8
20190115, 236.8, 237.25, 236.25, 236.8
20190115, 236.9, 237.5, 236.5, 237.55
20190115, 237.55, 238.5, 237.25, 238.1
20190115, 238.2, 238.25, 236.8, 236.9
20190115, 236.85, 238.9, 236.55, 238.1
20190115, 238.15, 238.6, 237.5, 238.55
20190115, 238.7, 239.3, 238.4, 239.0
20190115, 238.95, 240.1, 238.55, 239.9
20190115, 239.85, 240.65, 239.65, 240.2
20190115, 240.2, 240.45, 239.5, 239.9
20190115, 239.9, 242.2, 239.6, 242.25
20190115, 242.4, 242.95, 240.4, 240.75
20190116, 241.85, 243.0, 239.2, 242.95
20190116, 242.95, 243.4, 242.3, 242.85
20190116, 242.85, 244.0, 242.65, 243.4
20190116, 243.45, 244.4, 243.4, 244.0
20190116, 244.0, 244.4, 243.55, 243.75
20190116, 243.85, 243.95, 242.25, 243.0
20190116, 243.05, 243.9, 243.05, 243.8
20190116, 243.85, 244.65, 243.25, 243.75
20190116, 243.75, 244.35, 243.7, 243.75
20190116, 243.75, 243.8, 241.95, 243.3
20190116, 243.4, 243.45, 242.2, 242.35
20190116, 242.4, 242.4, 240.1, 240.65
20190116, 240.8, 240.8, 239.9, 240.4
20190117, 240.75, 242.4, 240.75, 242.0
20190117, 242.0, 242.7, 241.6, 242.0
20190117, 242.05, 245.2, 241.7, 244.7
20190117, 244.65, 245.5, 244.5, 245.25
20190117, 245.2, 246.4, 245.1, 246.2
20190117, 246.1, 246.35, 245.1, 246.1
20190117, 246.05, 246.1, 244.65, 245.05
20190117, 245.0, 245.2, 244.25, 244.7
20190117, 244.65, 244.95, 244.1, 244.65
20190117, 244.7, 244.95, 244.35, 245.0
20190117, 244.95, 245.25, 244.6, 244.85
20190117, 244.8, 245.15, 243.75, 244.75
20190117, 244.7, 244.85, 243.15, 243.85
20190118, 243.8, 245.35, 242.25, 243.65
20190118, 243.75, 244.3, 242.1, 242.2
20190118, 242.25, 242.65, 240.5, 241.15
20190118, 241.25, 242.9, 240.3, 240.6
20190118, 240.6, 241.4, 240.4, 240.8
20190118, 240.85, 240.9, 238.85, 239.4
20190118, 239.6, 240.5, 239.25, 239.65
20190118, 239.85, 239.85, 238.4, 238.85
20190118, 238.85, 239.5, 238.3, 239.2
20190118, 239.35, 239.7, 238.8, 239.2
20190118, 239.3, 239.6, 238.25, 238.9
20190118, 239.0, 239.9, 238.7, 239.7
20190118, 239.7, 240.0, 239.0, 239.25
20190121, 236.85, 240.65, 236.85, 239.7
20190121, 239.7, 241.9, 239.7, 240.6
20190121, 240.5, 241.7, 240.05, 239.75
20190121, 239.85, 239.9, 238.4, 238.6
20190121, 238.7, 238.85, 237.7, 238.35
20190121, 238.35, 238.4, 237.7, 237.8
20190121, 237.75, 238.4, 237.3, 238.35
20190121, 238.25, 238.35, 237.35, 237.4
20190121, 237.2, 238.2, 237.2, 237.5
20190121, 237.7, 240.0, 237.25, 239.2
20190121, 239.2, 240.0, 239.05, 239.7
20190121, 239.6, 239.85, 237.95, 239.15
20190121, 239.15, 239.3, 238.0, 238.25
20190122, 238.9, 242.25, 238.35, 242.45
20190122, 242.45, 242.65, 240.85, 241.0
20190122, 241.0, 243.45, 241.0, 243.2
20190122, 243.1, 243.2, 241.6, 241.7
20190122, 241.7, 242.4, 241.2, 241.6
20190122, 241.6, 242.15, 241.2, 241.4
20190122, 241.5, 241.95, 240.95, 241.25
20190122, 241.4, 241.6, 239.6, 240.1
20190122, 240.05, 240.85, 239.9, 240.8
20190122, 240.8, 242.0, 240.4, 241.4
20190122, 241.5, 241.9, 240.85, 241.05
20190122, 241.05, 243.0, 240.7, 242.7
20190122, 242.7, 242.95, 239.65, 240.95
20190123, 241.2, 244.4, 241.0, 241.6
20190123, 241.5, 242.0, 240.1, 240.2
20190123, 240.15, 240.75, 239.3, 240.0
20190123, 239.95, 240.1, 239.7, 240.0
20190123, 240.0, 240.5, 239.8, 240.4
20190123, 240.45, 241.4, 240.0, 241.35
20190123, 241.4, 241.7, 240.5, 240.75
20190123, 240.75, 240.8, 240.0, 240.5
20190123, 240.55, 240.75, 239.6, 239.9
20190123, 239.9, 240.75, 239.85, 240.1
20190123, 240.1, 242.25, 239.9, 242.2
20190123, 242.1, 243.95, 241.3, 242.05
20190123, 242.05, 242.5, 240.55, 241.1
20190124, 242.3, 245.5, 242.0, 244.9
20190124, 244.75, 245.0, 243.6, 243.8
20190124, 243.65, 243.9, 242.6, 243.8
20190124, 243.7, 244.2, 243.5, 243.9
20190124, 243.8, 244.1, 242.6, 242.85
20190124, 242.8, 243.3, 242.3, 242.85
20190124, 242.95, 243.65, 242.3, 242.55
20190124, 242.45, 243.1, 242.1, 243.0
20190124, 242.9, 244.0, 242.6, 242.5
20190124, 242.5, 243.4, 242.35, 242.9
20190124, 243.0, 243.5, 242.3, 242.9
20190124, 242.9, 243.75, 241.25, 243.35
20190124, 243.5, 243.75, 243.0, 243.6
20190125, 243.55, 245.25, 243.1, 243.65
20190125, 243.65, 244.65, 243.65, 244.85
20190125, 244.85, 246.45, 244.85, 245.75
20190125, 245.75, 248.3, 245.7, 247.55
20190125, 247.55, 247.8, 246.15, 246.2
20190125, 246.15, 246.35, 245.8, 246.0
20190125, 246.0, 246.05, 245.0, 245.85
20190125, 245.85, 246.0, 245.55, 246.0
20190125, 246.0, 246.0, 245.05, 245.2
20190125, 245.05, 245.55, 244.0, 244.35
20190125, 244.25, 244.45, 243.05, 243.7
20190125, 243.7, 244.0, 241.1, 241.65
20190125, 241.55, 242.0, 240.65, 241.25
20190128, 242.3, 243.45, 239.3, 239.7
20190128, 239.75, 241.6, 238.35, 240.25
20190128, 240.35, 241.6, 240.1, 241.45
20190128, 241.5, 242.8, 241.25, 242.2
20190128, 242.25, 242.25, 241.0, 241.7
20190128, 241.7, 242.5, 241.2, 242.3
