Date,Open,High,Low,Close
20190101, 852.55, 852.55, 842.15, 846.1
20190101, 846.15, 846.5, 840.3, 843.5
20190101, 843.7, 846.45, 842.0, 844.9
20190101, 844.95, 848.9, 843.5, 847.1
20190101, 847.1, 847.45, 844.0, 845.65
20190101, 845.75, 846.9, 844.4, 845.5
20190101, 845.5, 846.0, 842.85, 844.35
20190101, 844.4, 844.8, 843.0, 844.25
20190101, 844.0, 844.9, 840.05, 841.0
20190101, 841.0, 843.0, 838.05, 839.5
20190101, 839.75, 845.0, 839.5, 843.1
20190101, 843.65, 847.4, 843.1, 844.45
20190101, 844.55, 845.7, 842.0, 842.45
20190102, 842.0, 846.7, 832.85, 849.4
20190102, 849.3, 856.5, 845.25, 848.45
20190102, 848.55, 850.0, 845.5, 847.45
20190102, 847.45, 848.8, 845.5, 846.25
20190102, 846.15, 847.5, 843.9, 846.4
20190102, 846.4, 849.9, 844.35, 848.05
20190102, 848.25, 849.2, 845.1, 845.9
20190102, 846.0, 849.8, 843.8, 848.7
20190102, 848.7, 853.8, 844.3, 845.25
20190102, 845.25, 845.9, 840.4, 845.85
20190102, 845.9, 847.0, 843.4, 845.7
20190102, 845.9, 846.45, 841.5, 843.2
20190102, 842.85, 845.15, 838.5, 838.85
20190103, 840.6, 847.75, 833.3, 844.95
20190103, 844.6, 846.5, 843.0, 845.25
20190103, 845.4, 847.8, 839.5, 841.15
20190103, 840.75, 841.5, 839.15, 839.35
20190103, 839.0, 840.4, 830.2, 832.0
20190103, 832.7, 834.5, 828.1, 827.9
20190103, 827.9, 827.9, 817.15, 823.0
20190103, 822.95, 827.75, 821.1, 825.5
20190103, 825.5, 829.75, 821.45, 823.55
20190103, 823.15, 827.45, 821.1, 822.15
20190103, 821.75, 825.75, 819.5, 821.1
20190103, 821.0, 823.0, 814.9, 815.0
20190103, 815.05, 818.8, 813.6, 814.0
20190104, 818.0, 832.8, 818.0, 817.8
20190104, 817.5, 823.75, 814.0, 821.5
20190104, 821.35, 823.8, 818.15, 821.9
20190104, 821.85, 827.8, 820.5, 825.05
20190104, 825.1, 827.5, 823.1, 824.6
