Date,Open,High,Low,Close
20190101, 361.25, 361.25, 358.5, 359.2
20190101, 359.05, 359.7, 357.75, 358.3
20190101, 358.3, 359.25, 358.15, 358.9
20190101, 358.95, 359.2, 358.5, 358.95
20190101, 359.0, 359.05, 357.8, 358.4
20190101, 358.4, 358.75, 358.35, 359.0
20190101, 359.0, 359.2, 358.35, 358.6
20190101, 358.6, 358.85, 358.4, 358.7
20190101, 358.6, 358.8, 356.4, 357.0
20190101, 357.1, 358.2, 356.7, 358.2
20190101, 358.1, 361.9, 358.05, 361.8
20190101, 361.9, 364.1, 361.7, 363.75
20190101, 363.5, 364.55, 363.5, 364.2
20190102, 361.5, 365.1, 360.3, 363.6
20190102, 363.6, 365.0, 363.15, 364.2
20190102, 364.25, 365.7, 364.0, 365.3
20190102, 365.35, 367.5, 365.35, 366.4
20190102, 366.5, 366.9, 366.1, 366.35
20190102, 366.45, 367.65, 366.3, 367.6
20190102, 367.6, 367.9, 365.15, 365.15
20190102, 365.0, 365.7, 364.4, 364.95
20190102, 364.95, 365.25, 363.25, 363.45
20190102, 363.55, 364.7, 362.25, 363.1
20190102, 363.1, 365.1, 362.75, 364.85
20190102, 364.75, 365.5, 364.15, 364.5
20190102, 364.45, 364.95, 364.15, 364.3
20190103, 365.05, 365.85, 363.75, 365.15
20190103, 365.1, 366.95, 364.5, 366.6
20190103, 366.6, 367.25, 366.25, 366.75
20190103, 366.8, 367.0, 366.0, 366.9
20190103, 366.95, 366.95, 364.6, 365.0
20190103, 365.0, 365.6, 364.3, 365.2
20190103, 365.15, 366.1, 364.6, 365.6
20190103, 365.6, 367.3, 365.45, 366.5
20190103, 366.5, 367.25, 365.0, 365.2
20190103, 365.2, 365.8, 363.7, 364.5
20190103, 364.45, 364.95, 363.65, 364.25
20190103, 364.15, 364.85, 362.7, 363.35
20190103, 363.5, 363.8, 362.15, 362.1
20190104, 361.1, 361.2, 358.5, 358.5
20190104, 358.35, 360.0, 358.1, 359.5
20190104, 359.45, 360.15, 358.35, 359.6
20190104, 359.6, 362.75, 359.25, 361.7
20190104, 361.8, 365.0, 361.8, 364.45
20190104, 364.45, 364.9, 363.75, 364.55
20190104, 364.55, 366.15, 363.8, 366.4
20190104, 366.4, 367.6, 366.0, 367.1
20190104, 367.15, 368.8, 366.15, 367.4
20190104, 367.35, 367.65, 365.5, 365.05
20190104, 365.1, 366.2, 364.65, 365.95
20190104, 365.95, 366.25, 364.8, 364.8
20190104, 364.9, 366.6, 364.3, 366.35
20190107, 367.45, 370.55, 367.35, 369.2
20190107, 369.2, 369.7, 368.25, 369.6
20190107, 369.5, 370.95, 369.3, 370.05
20190107, 370.1, 370.3, 368.8, 369.25
20190107, 369.2, 371.0, 368.5, 369.0
20190107, 369.0, 370.75, 368.9, 369.8
20190107, 369.8, 370.2, 369.25, 369.5
20190107, 369.45, 369.6, 368.8, 369.55
20190107, 369.6, 370.35, 368.85, 369.4
20190107, 369.5, 370.0, 368.25, 369.6
20190107, 369.5, 369.65, 368.35, 368.7
20190107, 368.75, 368.85, 366.55, 367.9
20190107, 367.85, 368.3, 367.45, 367.65
20190108, 367.9, 370.0, 366.6, 368.8
20190108, 368.8, 372.0, 368.75, 371.55
20190108, 371.55, 374.75, 371.5, 373.95
20190108, 373.9, 373.95, 372.65, 373.55
20190108, 373.6, 373.85, 372.75, 373.35
20190108, 373.3, 374.9, 373.25, 375.25
20190108, 375.25, 375.3, 374.35, 375.05
20190108, 375.0, 375.3, 374.8, 374.7
20190108, 374.65, 376.6, 374.1, 375.75
20190108, 375.75, 379.1, 375.75, 378.65
20190108, 378.75, 379.45, 378.05, 378.75
20190108, 378.75, 380.4, 378.3, 380.55
20190108, 380.5, 381.8, 380.0, 380.0
20190109, 381.65, 383.15, 379.35, 380.9
20190109, 380.9, 382.45, 379.9, 382.1
20190109, 382.05, 383.55, 381.45, 382.4
20190109, 382.45, 383.15, 381.6, 381.85
20190109, 381.85, 382.4, 380.45, 381.45
20190109, 381.6, 381.65, 380.6, 381.1
20190109, 381.1, 381.55, 380.1, 381.45
20190109, 381.45, 381.95, 381.05, 382.05
20190109, 381.85, 382.0, 380.45, 380.5
20190109, 380.5, 380.55, 375.6, 378.2
20190109, 378.35, 380.35, 377.0, 379.6
20190109, 379.65, 382.7, 379.65, 382.7
20190109, 382.6, 383.0, 382.0, 382.25
20190110, 380.9, 382.15, 379.6, 380.55
