Date,Open,High,Low,Close
20190101, 282.25, 282.95, 280.45, 280.8
20190101, 280.75, 280.95, 279.8, 280.3
20190101, 280.3, 280.65, 280.0, 280.2
20190101, 280.2, 280.6, 280.0, 280.4
20190101, 280.35, 280.55, 280.1, 280.3
20190101, 280.25, 280.65, 280.15, 280.55
20190101, 280.6, 280.6, 280.1, 280.25
20190101, 280.25, 280.5, 280.1, 280.5
20190101, 280.55, 280.65, 280.0, 280.2
20190101, 280.1, 280.9, 280.0, 280.55
20190101, 280.7, 282.0, 280.55, 281.85
20190101, 281.85, 282.6, 281.75, 282.2
20190101, 282.15, 283.55, 282.0, 283.0
20190102, 282.0, 283.25, 281.75, 282.4
20190102, 282.45, 283.15, 282.1, 282.7
20190102, 282.55, 282.8, 281.65, 281.7
20190102, 281.7, 282.2, 281.3, 281.65
20190102, 281.65, 281.85, 280.85, 281.05
20190102, 281.0, 281.4, 280.6, 281.05
20190102, 281.05, 281.5, 279.75, 280.35
20190102, 280.35, 280.35, 278.65, 279.25
20190102, 279.25, 279.5, 277.55, 278.3
20190102, 278.4, 278.8, 277.55, 278.6
20190102, 278.5, 280.8, 278.5, 280.55
20190102, 280.5, 281.0, 280.1, 280.45
20190102, 280.4, 281.1, 280.4, 280.6
20190103, 280.9, 282.0, 279.65, 281.9
20190103, 281.9, 282.1, 281.5, 281.9
20190103, 281.85, 282.45, 281.3, 281.5
20190103, 281.5, 281.5, 279.5, 279.65
20190103, 279.65, 279.85, 278.75, 279.4
20190103, 279.35, 279.45, 278.4, 278.55
20190103, 278.55, 279.0, 278.05, 278.5
20190103, 278.55, 279.0, 278.3, 279.05
20190103, 279.1, 279.4, 278.6, 278.7
20190103, 278.65, 278.85, 277.75, 277.95
20190103, 278.05, 278.95, 277.75, 278.45
20190103, 278.5, 279.2, 278.4, 278.65
20190103, 278.75, 279.15, 278.65, 279.0
20190104, 279.85, 281.4, 279.4, 280.7
20190104, 280.65, 281.2, 279.95, 280.7
20190104, 280.8, 281.0, 279.55, 280.75
20190104, 280.8, 281.55, 279.9, 280.25
20190104, 280.25, 281.0, 279.85, 279.95
20190104, 279.9, 281.1, 279.8, 280.85
20190104, 280.9, 281.9, 280.35, 281.95
20190104, 282.0, 282.95, 281.8, 282.0
20190104, 282.0, 282.6, 281.75, 281.95
20190104, 281.95, 282.1, 280.85, 280.7
20190104, 280.7, 282.45, 280.1, 282.25
20190104, 282.3, 282.6, 280.85, 280.85
20190104, 280.85, 281.0, 280.0, 280.8
20190107, 284.25, 285.25, 282.25, 281.8
20190107, 281.8, 283.0, 281.35, 282.6
20190107, 282.6, 283.8, 282.55, 283.3
20190107, 283.25, 284.2, 283.0, 283.15
20190107, 283.1, 283.15, 282.1, 282.15
20190107, 282.15, 282.4, 281.7, 281.9
20190107, 281.9, 282.25, 281.65, 281.95
20190107, 281.9, 282.15, 281.75, 282.0
20190107, 281.95, 282.4, 281.5, 281.75
20190107, 281.65, 281.85, 281.2, 281.65
20190107, 281.65, 281.95, 281.25, 281.8
20190107, 281.85, 281.9, 281.0, 281.8
20190107, 281.9, 282.15, 281.75, 281.55
20190108, 282.05, 282.35, 281.35, 282.15
20190108, 282.1, 283.15, 282.0, 282.9
20190108, 282.85, 283.0, 282.2, 282.25
20190108, 282.3, 282.4, 281.85, 282.4
20190108, 282.35, 282.4, 281.9, 282.1
20190108, 282.0, 282.15, 281.9, 282.1
20190108, 282.05, 283.45, 282.0, 283.2
20190108, 283.3, 284.8, 283.0, 284.4
20190108, 284.1, 284.6, 283.5, 283.9
20190108, 284.0, 284.8, 283.8, 284.85
20190108, 284.7, 285.4, 284.6, 285.05
20190108, 285.1, 285.5, 284.15, 284.65
20190108, 284.75, 284.85, 283.5, 283.9
20190109, 285.4, 285.9, 284.6, 285.5
20190109, 285.5, 285.7, 285.1, 285.4
20190109, 285.4, 286.8, 285.3, 286.85
20190109, 286.85, 287.0, 286.1, 286.7
20190109, 286.65, 286.75, 286.05, 286.6
20190109, 286.55, 286.7, 286.15, 286.55
20190109, 286.55, 287.6, 286.15, 287.3
20190109, 287.35, 288.8, 287.35, 288.4
20190109, 288.4, 290.75, 288.4, 290.15
20190109, 290.3, 290.4, 287.1, 288.8
20190109, 288.8, 289.0, 287.8, 288.8
20190109, 288.8, 290.65, 288.5, 290.4
20190109, 290.4, 291.45, 289.65, 291.5
20190110, 290.85, 293.7, 290.8, 291.85
20190110, 291.8, 292.15, 291.05, 291.65
20190110, 291.75, 292.4, 291.45, 292.05
20190110, 292.2, 292.25, 292.0, 292.1
20190110, 292.05, 292.5, 291.75, 292.05
20190110, 292.0, 292.05, 290.35, 291.0
20190110, 291.0, 291.25, 289.15, 290.35
20190110, 290.35, 291.0, 290.1, 290.95
20190110, 290.95, 291.0, 290.5, 290.9
20190110, 290.95, 291.0, 290.3, 290.85
20190110, 290.85, 290.85, 289.8, 290.15
20190110, 290.15, 290.7, 289.15, 289.9
