Date,Open,High,Low,Close
20190101, 78.6, 78.65, 78.05, 78.4
20190101, 78.4, 78.5, 78.15, 78.3
20190101, 78.25, 78.75, 78.15, 78.75
20190101, 78.7, 79.0, 78.6, 78.75
20190101, 78.75, 79.0, 78.7, 78.8
20190101, 78.8, 78.95, 78.7, 78.9
20190101, 78.9, 79.15, 78.75, 78.8
20190101, 78.75, 78.9, 78.65, 78.85
20190101, 78.9, 78.95, 78.45, 78.6
20190101, 78.6, 78.8, 78.45, 78.7
20190101, 78.7, 79.6, 78.6, 79.5
20190101, 79.55, 79.9, 79.5, 79.75
20190101, 79.7, 80.0, 79.65, 79.95
20190102, 79.5, 80.4, 79.25, 79.8
20190102, 79.75, 79.95, 79.15, 79.3
20190102, 79.3, 79.85, 79.3, 79.5
20190102, 79.5, 80.2, 79.5, 79.85
20190102, 79.8, 79.95, 79.55, 79.75
20190102, 79.7, 79.7, 79.45, 79.6
20190102, 79.6, 79.7, 79.0, 78.9
20190102, 78.85, 79.2, 78.75, 79.05
20190102, 79.0, 79.05, 78.3, 78.15
20190102, 78.1, 78.2, 77.5, 77.75
20190102, 77.7, 78.1, 77.3, 77.8
20190102, 77.8, 78.0, 77.45, 77.75
20190102, 77.7, 78.15, 77.5, 77.95
20190103, 78.1, 78.4, 77.65, 78.25
20190103, 78.25, 78.35, 77.75, 77.75
20190103, 77.75, 77.75, 77.05, 77.25
20190103, 77.25, 77.95, 77.1, 77.85
20190103, 77.85, 78.0, 77.35, 77.45
20190103, 77.5, 77.7, 77.4, 77.5
20190103, 77.5, 78.0, 77.45, 78.05
20190103, 78.0, 78.3, 77.8, 78.15
20190103, 78.2, 78.95, 78.05, 78.2
20190103, 78.2, 78.45, 78.05, 78.2
20190103, 78.2, 78.55, 77.85, 77.9
20190103, 77.9, 78.1, 77.5, 77.9
20190103, 77.9, 77.95, 77.6, 77.8
20190104, 78.1, 78.7, 77.75, 77.8
20190104, 77.8, 78.3, 77.65, 77.95
20190104, 78.0, 78.2, 77.75, 78.1
20190104, 78.15, 78.75, 78.1, 78.55
20190104, 78.5, 79.35, 78.35, 79.05
20190104, 79.05, 79.45, 78.8, 79.3
20190104, 79.35, 80.25, 79.2, 79.8
20190104, 79.8, 80.6, 79.8, 80.45
