Date,Open,High,Low,Close
20190101, 432.2, 434.8, 429.65, 435.0
20190101, 434.8, 438.0, 434.8, 437.0
20190101, 437.15, 438.8, 436.1, 437.05
20190101, 437.25, 437.35, 436.3, 436.9
20190101, 436.9, 437.1, 436.3, 436.2
20190101, 436.15, 436.4, 434.1, 434.85
20190101, 434.85, 435.45, 434.15, 435.65
20190101, 435.55, 435.6, 432.3, 433.9
20190101, 433.8, 434.2, 432.7, 432.8
20190101, 432.8, 434.15, 432.55, 433.35
20190101, 433.35, 434.85, 433.15, 434.25
20190101, 434.2, 435.7, 433.65, 434.35
20190101, 434.3, 434.5, 431.6, 432.7
20190102, 430.5, 433.9, 429.25, 431.4
20190102, 431.35, 433.7, 430.75, 431.65
20190102, 431.55, 434.5, 431.55, 433.7
20190102, 433.7, 436.25, 433.5, 435.15
20190102, 435.15, 435.9, 434.1, 434.5
20190102, 434.5, 435.2, 433.75, 435.0
20190102, 435.0, 435.4, 434.1, 434.6
20190102, 434.5, 437.0, 434.1, 435.6
20190102, 435.6, 436.4, 433.55, 433.8
20190102, 433.9, 434.5, 431.65, 434.4
20190102, 434.45, 438.0, 433.35, 437.45
20190102, 437.65, 441.2, 436.55, 440.5
20190102, 440.3, 440.5, 439.1, 439.6
20190103, 442.05, 442.45, 437.2, 439.6
20190103, 439.6, 443.5, 438.8, 443.2
20190103, 443.1, 443.35, 441.5, 441.8
20190103, 441.8, 443.0, 441.5, 442.75
20190103, 442.75, 442.9, 439.3, 439.95
20190103, 439.75, 442.75, 439.65, 441.4
20190103, 441.25, 441.75, 440.1, 440.5
20190103, 440.45, 441.45, 439.25, 440.0
20190103, 440.05, 441.8, 439.55, 438.8
20190103, 438.75, 439.5, 436.25, 438.35
20190103, 438.35, 439.0, 437.0, 437.6
20190103, 437.55, 438.75, 436.0, 436.55
20190103, 436.4, 436.8, 434.1, 434.95
20190104, 438.9, 439.75, 432.6, 433.5
20190104, 433.5, 434.9, 432.2, 433.65
20190104, 433.55, 434.25, 432.55, 433.0
20190104, 432.9, 438.25, 432.5, 436.1
20190104, 436.1, 438.0, 436.1, 437.3
20190104, 437.3, 438.45, 436.15, 436.65
20190104, 436.65, 437.5, 435.5, 437.2
20190104, 437.25, 439.9, 437.2, 438.3
20190104, 438.3, 438.5, 436.55, 437.25
20190104, 437.25, 437.3, 433.85, 433.9
20190104, 434.0, 435.1, 433.0, 433.85
20190104, 433.85, 435.0, 432.25, 433.25
20190104, 433.25, 435.2, 432.5, 433.4
20190107, 437.1, 438.0, 435.25, 435.75
20190107, 435.75, 436.05, 433.0, 433.9
20190107, 433.9, 435.4, 433.6, 435.65
20190107, 435.7, 435.85, 434.2, 434.3
20190107, 434.3, 435.0, 431.05, 432.0
20190107, 431.95, 433.4, 431.6, 432.75
20190107, 432.6, 433.9, 432.05, 433.9
20190107, 433.9, 434.9, 431.5, 432.0
20190107, 431.9, 433.5, 431.1, 432.55
20190107, 432.6, 433.25, 431.7, 433.15
20190107, 433.15, 433.9, 431.8, 431.75
20190107, 431.85, 432.4, 429.3, 430.2
20190107, 430.5, 431.6, 429.55, 430.85
20190108, 434.0, 439.7, 432.35, 437.4
20190108, 437.45, 438.45, 435.5, 438.35
20190108, 438.3, 442.95, 437.5, 442.15
20190108, 442.25, 442.75, 440.5, 442.45
20190108, 442.25, 444.5, 442.25, 442.75
20190108, 442.85, 443.4, 441.7, 442.3
20190108, 442.35, 443.7, 442.05, 443.2
20190108, 443.1, 444.9, 442.45, 443.7
20190108, 443.75, 445.6, 443.3, 445.0
20190108, 445.0, 446.6, 444.2, 446.0
20190108, 446.1, 448.3, 446.0, 445.85
20190108, 445.8, 449.0, 445.35, 448.8
20190108, 448.8, 449.0, 447.6, 448.75
20190109, 450.1, 453.65, 450.0, 451.7
20190109, 451.7, 453.35, 450.55, 451.8
20190109, 451.75, 452.05, 445.15, 448.25
20190109, 448.25, 449.65, 446.75, 449.25
20190109, 449.25, 450.2, 447.9, 447.85
20190109, 447.85, 449.5, 447.8, 449.05
20190109, 449.05, 449.9, 448.15, 449.4
20190109, 449.4, 451.5, 449.0, 450.6
20190109, 450.65, 451.5, 448.45, 448.9
20190109, 448.95, 448.95, 443.7, 446.2
20190109, 446.15, 448.0, 446.0, 448.25
20190109, 448.2, 449.75, 447.0, 448.9
20190109, 449.0, 449.45, 447.35, 447.15
20190110, 445.3, 447.75, 444.25, 445.8
20190110, 445.95, 446.75, 444.3, 445.35
20190110, 445.35, 448.0, 445.0, 446.15
