Date,Open,High,Low,Close
20190101, 173.05, 173.25, 171.3, 172.0
20190101, 171.95, 172.45, 171.4, 171.85
20190101, 171.85, 172.4, 171.8, 172.15
20190101, 172.1, 172.45, 171.85, 172.3
20190101, 172.35, 172.45, 172.1, 172.3
20190101, 172.3, 173.4, 172.2, 173.25
20190101, 173.2, 173.45, 172.75, 172.85
20190101, 172.95, 173.1, 172.6, 173.05
20190101, 173.05, 173.15, 172.55, 172.65
20190101, 172.7, 173.1, 172.6, 172.85
20190101, 172.85, 173.3, 172.7, 173.1
20190101, 173.15, 173.45, 172.8, 173.15
20190101, 173.2, 174.1, 173.15, 174.0
20190102, 170.3, 171.65, 170.3, 170.85
20190102, 170.85, 171.75, 169.4, 169.9
20190102, 169.95, 171.0, 169.8, 170.8
20190102, 170.85, 171.0, 170.2, 170.5
20190102, 170.45, 170.9, 170.35, 170.8
20190102, 170.8, 170.95, 170.5, 170.75
20190102, 170.7, 170.8, 169.25, 169.55
20190102, 169.45, 169.6, 168.9, 169.45
20190102, 169.4, 169.5, 168.8, 169.3
20190102, 169.25, 169.25, 168.0, 168.8
20190102, 168.75, 169.45, 168.45, 169.3
20190102, 169.3, 169.4, 168.45, 168.65
20190102, 168.65, 168.95, 168.1, 168.3
20190103, 168.9, 170.15, 168.3, 169.55
20190103, 169.6, 169.8, 168.15, 168.7
20190103, 168.65, 168.9, 166.75, 167.3
20190103, 167.35, 168.15, 167.25, 167.85
20190103, 167.95, 168.45, 167.5, 167.95
20190103, 168.0, 168.35, 167.6, 167.8
20190103, 167.8, 168.25, 167.6, 168.05
20190103, 168.05, 168.45, 167.75, 168.2
20190103, 168.2, 168.25, 167.25, 167.55
20190103, 167.55, 167.55, 167.0, 167.05
20190103, 167.05, 167.25, 166.35, 166.9
20190103, 166.9, 167.2, 166.05, 166.15
20190103, 166.1, 166.15, 165.1, 165.65
20190104, 168.85, 171.95, 168.5, 169.6
20190104, 169.55, 170.45, 169.1, 170.1
20190104, 170.05, 170.25, 169.5, 169.85
20190104, 169.85, 170.85, 169.7, 170.15
20190104, 170.1, 171.15, 170.1, 171.1
20190104, 171.0, 171.15, 170.3, 170.7
20190104, 170.65, 170.95, 170.45, 170.8
20190104, 170.8, 171.1, 170.55, 170.8
20190104, 170.75, 170.9, 170.1, 170.2
20190104, 170.2, 170.35, 169.7, 169.65
20190104, 169.6, 170.4, 169.25, 170.4
20190104, 170.35, 171.0, 169.85, 170.85
20190104, 170.8, 171.5, 170.6, 171.15
20190107, 174.0, 175.75, 173.85, 174.95
20190107, 174.9, 176.0, 174.6, 175.65
20190107, 175.65, 177.65, 175.6, 177.3
20190107, 177.35, 178.2, 176.85, 177.1
20190107, 177.15, 177.5, 176.9, 176.9
20190107, 176.9, 177.5, 176.8, 177.15
20190107, 177.1, 177.25, 176.85, 177.2
20190107, 177.15, 177.3, 176.9, 177.15
20190107, 177.15, 177.3, 176.55, 176.75
20190107, 176.8, 177.2, 176.3, 177.0
20190107, 177.05, 177.05, 175.75, 175.8
20190107, 175.9, 175.9, 174.7, 175.45
20190107, 175.45, 175.75, 175.0, 175.25
20190108, 176.3, 178.4, 176.3, 178.45
20190108, 178.4, 180.4, 178.4, 179.65
20190108, 179.65, 179.8, 179.0, 178.9
20190108, 178.9, 179.0, 178.5, 178.6
20190108, 178.55, 178.95, 178.2, 178.7
20190108, 178.7, 178.75, 178.0, 178.75
20190108, 178.75, 179.0, 178.4, 178.7
20190108, 178.75, 178.9, 178.5, 178.5
20190108, 178.4, 179.0, 178.1, 178.65
20190108, 178.7, 179.25, 178.65, 178.85
20190108, 178.8, 179.9, 178.7, 179.7
20190108, 179.75, 180.0, 179.15, 180.2
20190108, 180.1, 180.5, 179.85, 180.0
20190109, 181.7, 182.75, 181.15, 181.55
20190109, 181.5, 181.55, 180.75, 181.1
20190109, 181.2, 181.95, 181.1, 181.6
20190109, 181.7, 181.95, 180.95, 181.25
20190109, 181.15, 181.7, 181.0, 181.55
20190109, 181.55, 182.25, 181.5, 181.95
20190109, 181.9, 182.2, 181.4, 182.1
20190109, 182.1, 182.55, 181.95, 182.5
20190109, 182.45, 183.5, 182.45, 182.7
20190109, 182.75, 182.75, 180.2, 181.55
20190109, 181.55, 182.6, 181.15, 182.25
20190109, 182.25, 183.25, 181.85, 183.3
20190109, 183.25, 183.5, 182.9, 183.6
20190110, 183.9, 186.0, 183.55, 185.6
20190110, 185.55, 186.35, 185.05, 186.0
20190110, 186.0, 186.2, 185.6, 185.85
20190110, 185.85, 186.65, 185.7, 186.25
20190110, 186.2, 186.5, 186.0, 186.3
20190110, 186.25, 186.45, 185.5, 185.75
20190110, 185.75, 186.1, 185.65, 185.85
20190110, 185.85, 186.4, 185.7, 186.4
20190110, 186.4, 186.85, 185.85, 186.2
20190110, 186.2, 186.35, 185.75, 186.05
20190110, 186.05, 186.1, 185.55, 185.9
20190110, 185.95, 186.0, 185.6, 185.9
20190110, 185.9, 186.0, 185.3, 185.55
20190111, 187.0, 187.75, 186.6, 187.0
20190111, 187.05, 187.05, 185.2, 185.6
20190111, 185.65, 185.7, 183.6, 183.75
20190111, 183.75, 184.65, 182.7, 183.1
20190111, 183.15, 183.35, 181.9, 182.55
20190111, 182.6, 182.6, 180.5, 181.0
20190111, 181.0, 181.7, 180.75, 180.65
20190111, 180.65, 181.35, 180.65, 181.1
20190111, 181.1, 181.2, 180.15, 180.05
20190111, 180.0, 180.55, 179.4, 180.1
20190111, 180.05, 180.4, 179.6, 180.25
20190111, 180.3, 180.45, 179.8, 180.35
20190111, 180.4, 180.7, 179.75, 179.8
20190114, 180.25, 180.25, 177.45, 179.0
20190114, 178.95, 180.15, 178.45, 178.5
20190114, 178.5, 180.0, 178.25, 179.8
20190114, 179.75, 179.8, 178.75, 179.35
20190114, 179.35, 179.35, 178.35, 178.6
20190114, 178.65, 178.8, 178.0, 178.15
20190114, 178.2, 179.35, 177.85, 178.8
20190114, 178.8, 179.15, 178.4, 178.5
20190114, 178.45, 179.45, 178.35, 179.7
20190114, 179.7, 198.3, 179.05, 182.4
20190114, 182.4, 183.35, 181.9, 182.35
20190114, 182.25, 182.8, 181.7, 182.55
20190114, 182.55, 182.6, 182.05, 182.15
20190115, 182.85, 183.15, 181.25, 182.25
20190115, 182.3, 182.55, 181.75, 182.3
20190115, 182.3, 183.05, 182.05, 182.6
20190115, 182.6, 182.6, 182.1, 181.85
20190115, 181.85, 182.65, 181.8, 182.5
20190115, 182.5, 183.0, 182.35, 182.55
20190115, 182.6, 182.7, 182.0, 182.5
20190115, 182.5, 182.6, 182.05, 182.25
20190115, 182.25, 182.55, 182.0, 182.55
20190115, 182.45, 182.9, 182.2, 182.75
20190115, 182.85, 185.45, 182.8, 184.5
20190115, 184.6, 185.8, 184.45, 185.45
20190115, 185.55, 185.65, 185.1, 184.9
20190116, 185.8, 186.85, 184.2, 187.0
20190116, 186.95, 187.35, 186.3, 186.5
20190116, 186.45, 186.9, 185.3, 185.5
20190116, 185.5, 185.75, 184.05, 184.7
20190116, 184.65, 185.65, 184.35, 185.0
20190116, 185.0, 185.6, 185.0, 185.5
20190116, 185.45, 185.8, 185.2, 185.95
20190116, 185.9, 186.15, 185.2, 185.35
20190116, 185.4, 185.7, 185.1, 185.4
20190116, 185.3, 185.4, 184.55, 185.25
20190116, 185.25, 185.6, 184.9, 185.3
20190116, 185.35, 186.0, 185.0, 185.35
20190116, 185.4, 185.85, 185.0, 185.55
20190117, 185.9, 187.3, 185.7, 186.35
20190117, 186.4, 186.95, 185.3, 186.0
20190117, 186.0, 186.4, 185.05, 185.25
20190117, 185.2, 185.45, 184.7, 185.4
20190117, 185.4, 185.55, 184.9, 185.25
20190117, 185.2, 185.35, 184.3, 184.35
20190117, 184.3, 184.8, 183.7, 184.75
20190117, 184.7, 184.8, 183.9, 184.25
20190117, 184.3, 184.35, 183.5, 183.85
20190117, 183.75, 184.15, 183.4, 183.85
