Date,Open,High,Low,Close
20190101, 202.5, 202.85, 200.9, 201.15
20190101, 201.25, 201.5, 200.35, 201.15
20190101, 201.15, 201.7, 200.9, 201.35
20190101, 201.3, 202.0, 201.15, 201.6
20190101, 201.6, 201.7, 201.25, 201.45
20190101, 201.45, 201.55, 200.85, 201.2
20190101, 201.2, 201.35, 200.8, 201.0
20190101, 201.1, 201.5, 201.0, 201.4
20190101, 201.4, 201.45, 200.75, 201.0
20190101, 200.95, 201.4, 200.9, 201.2
20190101, 201.3, 202.2, 201.15, 201.8
20190101, 201.9, 202.2, 201.5, 201.9
20190101, 201.9, 202.65, 201.7, 202.5
20190102, 200.0, 200.0, 196.6, 196.65
20190102, 196.6, 197.0, 196.0, 196.5
20190102, 196.5, 197.1, 196.3, 196.75
20190102, 196.8, 196.95, 194.6, 195.0
20190102, 195.0, 196.1, 194.95, 196.0
20190102, 196.0, 196.1, 195.55, 195.85
20190102, 195.75, 195.9, 195.4, 195.6
20190102, 195.55, 195.8, 195.0, 195.1
20190102, 195.1, 195.25, 194.5, 194.8
20190102, 194.75, 195.1, 193.75, 194.1
20190102, 194.1, 194.4, 193.0, 193.65
20190102, 193.6, 193.85, 193.05, 193.0
20190102, 193.15, 193.5, 192.5, 193.2
20190103, 194.0, 194.9, 193.15, 194.85
20190103, 194.8, 195.0, 194.0, 194.25
20190103, 194.25, 194.5, 193.2, 193.4
20190103, 193.35, 194.4, 193.15, 193.75
20190103, 193.75, 193.75, 191.0, 191.45
20190103, 191.3, 192.3, 191.2, 191.95
20190103, 191.95, 193.0, 191.8, 192.4
20190103, 192.4, 192.4, 191.7, 191.9
20190103, 191.95, 191.95, 190.0, 190.35
20190103, 190.4, 190.7, 189.5, 189.45
20190103, 189.5, 189.8, 187.55, 188.15
20190103, 188.1, 188.4, 187.7, 187.75
20190103, 187.8, 188.4, 187.65, 188.5
20190104, 187.45, 190.65, 187.0, 187.5
20190104, 187.5, 188.75, 186.65, 188.05
20190104, 188.05, 189.0, 187.7, 188.2
20190104, 188.2, 189.8, 188.0, 189.55
20190104, 189.5, 189.65, 188.3, 188.9
20190104, 188.9, 189.0, 187.5, 188.1
20190104, 188.15, 189.1, 187.5, 188.9
20190104, 188.8, 189.4, 188.1, 188.9
20190104, 188.85, 189.6, 188.05, 188.95
20190104, 188.9, 189.85, 188.4, 188.75
20190104, 188.75, 189.5, 188.4, 189.4
20190104, 189.45, 193.8, 189.1, 193.3
20190104, 193.3, 194.45, 193.05, 194.0
20190107, 196.8, 198.65, 196.4, 196.15
20190107, 196.15, 197.0, 195.7, 196.25
20190107, 196.25, 196.45, 194.45, 195.0
20190107, 194.95, 195.0, 194.05, 194.55
20190107, 194.55, 195.15, 194.5, 194.45
20190107, 194.5, 194.9, 194.0, 194.5
20190107, 194.5, 195.0, 194.1, 195.0
20190107, 194.9, 195.45, 194.7, 194.95
20190107, 195.0, 195.0, 194.4, 194.65
20190107, 194.7, 194.7, 193.65, 194.25
20190107, 194.3, 194.5, 193.85, 194.0
20190107, 194.0, 194.0, 192.5, 193.35
20190107, 193.35, 193.9, 193.15, 193.65
20190108, 194.35, 195.15, 193.6, 194.4
20190108, 194.5, 195.25, 194.5, 194.75
20190108, 194.75, 194.8, 193.5, 193.6
20190108, 193.5, 195.4, 192.7, 194.25
20190108, 194.35, 194.65, 191.9, 192.85
20190108, 192.85, 194.0, 192.4, 193.9
20190108, 193.8, 194.55, 193.6, 193.9
20190108, 194.0, 195.5, 193.55, 194.95
20190108, 194.85, 195.45, 194.6, 195.25
20190108, 195.25, 196.45, 195.15, 195.85
20190108, 195.85, 197.0, 195.05, 195.25
20190108, 195.35, 196.0, 195.0, 195.65
20190108, 195.7, 195.95, 195.1, 195.6
20190109, 197.9, 198.0, 195.35, 195.2
20190109, 195.25, 196.2, 195.0, 195.75
20190109, 195.7, 196.35, 195.15, 195.3
20190109, 195.2, 195.35, 193.8, 194.1
20190109, 194.15, 194.5, 193.75, 194.0
20190109, 194.0, 194.8, 193.95, 194.4
20190109, 194.45, 194.75, 194.05, 194.55
20190109, 194.6, 195.1, 194.3, 195.1
20190109, 195.1, 195.3, 193.65, 193.9
20190109, 193.95, 194.05, 192.0, 193.6
20190109, 193.65, 194.0, 193.1, 193.7
20190109, 193.7, 195.0, 193.4, 194.85
20190109, 194.85, 195.2, 194.55, 195.05
20190110, 194.75, 196.2, 193.6, 194.65
20190110, 194.55, 195.35, 193.7, 194.0
20190110, 193.95, 194.85, 193.8, 194.6
20190110, 194.5, 195.3, 194.4, 194.55
20190110, 194.55, 194.65, 194.15, 194.6
20190110, 194.6, 194.9, 193.45, 194.35
20190110, 194.3, 195.2, 194.2, 195.15
20190110, 195.15, 195.15, 194.7, 194.85
20190110, 194.85, 195.0, 194.4, 194.6
20190110, 194.6, 194.8, 194.1, 194.8
20190110, 194.8, 194.8, 194.0, 194.2
20190110, 194.3, 195.7, 194.2, 195.25
20190110, 195.3, 195.8, 195.2, 195.35
20190111, 195.5, 196.4, 195.0, 196.15
20190111, 196.15, 196.5, 195.7, 196.65
20190111, 196.75, 196.8, 196.05, 196.15
20190111, 196.15, 197.6, 196.05, 197.35
20190111, 197.35, 198.3, 196.8, 197.35
20190111, 197.35, 197.55, 196.95, 197.05
20190111, 197.05, 197.85, 197.0, 197.25
20190111, 197.25, 197.4, 196.8, 196.9
20190111, 196.85, 197.0, 196.3, 196.4
20190111, 196.3, 196.75, 195.85, 196.65
20190111, 196.6, 196.9, 196.3, 196.75
20190111, 196.75, 196.85, 196.45, 196.75
20190111, 196.75, 196.75, 196.25, 196.7
20190114, 195.25, 195.75, 193.0, 194.4
20190114, 194.3, 194.45, 192.45, 192.15
20190114, 192.15, 193.85, 192.0, 193.8
20190114, 193.8, 194.05, 193.2, 193.6
20190114, 193.6, 194.2, 193.1, 193.35
20190114, 193.35, 193.5, 192.6, 193.2
20190114, 193.3, 194.05, 193.1, 193.5
20190114, 193.5, 193.5, 192.95, 193.1
20190114, 193.1, 193.2, 192.6, 192.9
20190114, 192.8, 193.3, 192.5, 193.15
20190114, 193.15, 193.4, 193.0, 193.25
20190114, 193.2, 193.4, 193.0, 193.0
20190114, 193.1, 193.25, 192.9, 193.05
20190115, 193.9, 194.9, 193.35, 193.85
20190115, 193.95, 194.75, 193.8, 193.95
20190115, 193.95, 195.0, 193.85, 194.55
20190115, 194.6, 195.0, 194.4, 195.0
20190115, 194.9, 195.95, 194.5, 195.85
20190115, 195.85, 197.0, 195.55, 196.55
20190115, 196.5, 196.9, 196.3, 196.45
20190115, 196.5, 196.65, 196.2, 196.5
20190115, 196.45, 196.85, 196.45, 196.85
20190115, 196.8, 198.9, 196.7, 198.85
20190115, 198.85, 199.15, 197.7, 198.1
20190115, 198.2, 199.0, 197.95, 198.8
20190115, 198.8, 199.8, 198.7, 198.75
20190116, 200.4, 202.25, 200.25, 200.8
20190116, 200.7, 201.15, 197.75, 198.7
20190116, 198.55, 198.8, 197.75, 198.45
20190116, 198.45, 199.35, 198.05, 198.25
20190116, 198.4, 198.7, 198.25, 198.55
20190116, 198.55, 198.7, 197.55, 198.0
20190116, 198.0, 198.3, 197.5, 198.05
20190116, 198.2, 198.25, 197.6, 197.95
20190116, 197.95, 198.0, 197.5, 197.75
20190116, 197.9, 197.9, 196.7, 196.9
20190116, 197.0, 197.6, 196.7, 197.15
20190116, 197.15, 197.3, 196.1, 196.45
20190116, 196.5, 196.75, 195.7, 196.55
20190117, 197.3, 197.9, 196.55, 197.1
20190117, 197.05, 197.8, 196.8, 197.5
20190117, 197.45, 198.0, 197.1, 197.45
20190117, 197.4, 197.65, 197.0, 197.8
20190117, 197.75, 197.8, 197.0, 197.15
20190117, 197.2, 197.3, 195.4, 196.0
20190117, 195.95, 196.65, 195.5, 196.4
20190117, 196.35, 196.6, 196.15, 196.3
20190117, 196.25, 196.95, 196.1, 196.3
20190117, 196.3, 196.8, 196.1, 196.5
20190117, 196.55, 197.8, 196.5, 197.45
20190117, 197.45, 198.25, 197.2, 197.8
20190117, 197.8, 197.85, 196.5, 196.8
20190118, 199.5, 200.0, 197.2, 198.75
20190118, 198.85, 200.0, 198.7, 199.05
20190118, 199.05, 199.2, 198.0, 198.15
20190118, 198.15, 198.75, 198.1, 198.3
20190118, 198.3, 198.85, 198.0, 198.65
20190118, 198.65, 199.15, 198.15, 198.3
20190118, 198.3, 198.6, 198.1, 198.5
20190118, 198.5, 198.95, 198.05, 198.25
20190118, 198.25, 198.5, 197.8, 198.3
20190118, 198.35, 198.9, 198.25, 198.75
20190118, 198.75, 198.85, 196.25, 197.2
20190118, 197.2, 199.0, 197.15, 198.7
20190118, 198.6, 199.0, 198.6, 198.75
20190121, 200.1, 200.5, 198.25, 199.4
20190121, 199.5, 200.2, 198.85, 199.0
20190121, 199.0, 199.4, 198.3, 198.85
20190121, 198.9, 198.95, 197.85, 198.15
20190121, 198.1, 198.5, 198.0, 198.25
20190121, 198.25, 198.6, 198.1, 198.2
20190121, 198.15, 198.75, 197.65, 198.65
20190121, 198.6, 199.25, 198.4, 199.0
20190121, 198.9, 199.1, 198.55, 198.65
20190121, 198.65, 199.0, 198.25, 198.8
20190121, 198.75, 198.9, 198.35, 198.7
20190121, 198.65, 198.95, 198.4, 198.45
20190121, 198.4, 198.7, 198.05, 198.1
20190122, 196.9, 197.4, 194.55, 195.6
20190122, 195.6, 195.65, 193.7, 194.2
20190122, 194.15, 194.75, 192.25, 193.0
20190122, 192.95, 193.0, 191.6, 192.6
20190122, 192.6, 193.1, 192.05, 192.35
20190122, 192.45, 192.6, 191.4, 192.0
20190122, 191.9, 192.65, 191.7, 192.25
20190122, 192.25, 192.4, 191.5, 191.9
20190122, 191.9, 192.3, 191.55, 192.2
20190122, 192.25, 192.75, 192.0, 192.5
20190122, 192.5, 192.6, 191.65, 192.2
20190122, 192.15, 192.35, 191.4, 191.5
20190122, 191.5, 191.55, 191.0, 191.1
20190123, 191.0, 195.0, 190.6, 194.75
20190123, 194.6, 194.9, 193.2, 193.4
20190123, 193.45, 193.85, 192.1, 192.45
20190123, 192.5, 192.8, 191.85, 192.65
20190123, 192.65, 193.2, 192.6, 193.1
20190123, 193.1, 193.1, 192.35, 193.15
20190123, 193.05, 193.15, 192.3, 192.5
20190123, 192.5, 192.65, 192.0, 192.2
20190123, 192.2, 193.15, 192.05, 192.9
20190123, 192.9, 193.75, 192.8, 193.25
20190123, 193.25, 193.45, 192.2, 192.5
20190123, 192.5, 193.5, 192.4, 193.0
20190123, 192.95, 193.0, 192.3, 192.5
20190124, 192.9, 192.95, 191.3, 192.2
20190124, 192.2, 192.85, 192.1, 192.6
20190124, 192.7, 193.2, 192.4, 192.65
20190124, 192.65, 193.15, 192.35, 192.95
20190124, 192.95, 193.0, 192.25, 192.85
20190124, 192.9, 193.85, 192.5, 193.45
20190124, 193.5, 193.8, 192.4, 192.7
20190124, 192.7, 195.45, 192.35, 193.0
20190124, 193.0, 195.0, 192.8, 193.4
20190124, 193.45, 194.25, 193.1, 193.9
20190124, 194.0, 194.2, 192.5, 193.55
20190124, 193.55, 193.95, 192.85, 193.7
20190124, 193.75, 193.85, 193.0, 193.55
20190125, 195.5, 196.0, 194.05, 195.25
20190125, 195.15, 196.4, 194.9, 194.8
20190125, 194.85, 195.1, 193.8, 194.55
20190125, 194.55, 194.8, 193.95, 194.05
20190125, 194.1, 194.3, 193.6, 194.05
20190125, 194.15, 194.45, 193.85, 193.95
20190125, 194.0, 194.35, 193.4, 194.1
20190125, 194.15, 194.2, 193.5, 193.9
20190125, 193.95, 194.05, 193.5, 193.25
20190125, 193.25, 193.7, 192.55, 193.1
20190125, 193.1, 194.6, 192.75, 193.95
20190125, 194.0, 195.0, 193.35, 195.15
20190125, 195.15, 195.7, 194.85, 195.0
20190128, 194.85, 194.95, 192.2, 192.65
20190128, 192.65, 193.75, 191.7, 192.25
20190128, 192.45, 192.9, 191.95, 192.3
20190128, 192.3, 192.85, 191.2, 191.5
20190128, 191.55, 192.1, 191.05, 191.8
20190128, 191.9, 192.55, 191.0, 191.8
20190128, 191.6, 192.2, 191.2, 191.85
20190128, 191.85, 192.5, 191.8, 192.3
20190128, 192.4, 192.8, 191.5, 192.05
20190128, 192.1, 192.25, 191.25, 191.75
20190128, 191.85, 192.1, 191.3, 191.7
20190128, 191.7, 192.25, 191.0, 191.5
20190128, 191.55, 192.3, 191.15, 192.2
20190129, 191.2, 191.6, 189.4, 191.3
20190129, 191.3, 191.95, 190.85, 191.6
20190129, 191.7, 191.7, 191.0, 191.2
20190129, 191.3, 191.7, 190.65, 191.4
20190129, 191.5, 192.5, 191.15, 192.3
20190129, 192.35, 193.2, 192.1, 193.05
20190129, 193.1, 193.85, 192.55, 192.7
20190129, 192.75, 192.9, 191.6, 191.7
20190129, 191.65, 191.9, 191.05, 191.2
20190129, 191.25, 192.05, 191.1, 191.35
20190129, 191.5, 191.95, 191.25, 191.7
20190129, 191.75, 193.1, 191.7, 192.85
20190129, 192.85, 192.95, 192.25, 192.7
20190130, 194.0, 196.45, 193.8, 195.05
20190130, 195.05, 195.2, 193.8, 194.0
20190130, 194.0, 194.1, 192.5, 192.5
20190130, 192.45, 193.0, 192.25, 192.6
20190130, 192.65, 193.2, 192.4, 192.65
20190130, 192.7, 193.55, 192.55, 193.0
20190130, 193.0, 194.2, 192.8, 194.35
20190130, 194.35, 194.45, 193.1, 193.05
20190130, 193.05, 193.35, 192.5, 192.95
20190130, 192.95, 193.85, 192.8, 193.5
20190130, 193.5, 194.7, 192.4, 192.75
20190130, 192.75, 194.0, 192.3, 194.0
20190130, 194.0, 194.8, 193.6, 194.45
20190131, 195.55, 197.95, 194.65, 196.55
20190131, 196.5, 196.55, 194.85, 194.55
20190131, 194.55, 195.5, 193.8, 194.85
20190131, 194.9, 195.35, 194.5, 194.85
20190131, 194.9, 195.4, 194.4, 195.15
20190131, 195.2, 196.0, 195.1, 195.65
20190131, 195.65, 195.95, 195.4, 195.85
20190131, 195.9, 196.45, 194.8, 195.8
20190131, 195.8, 197.7, 195.8, 197.4
20190131, 197.4, 197.8, 196.7, 197.0
20190131, 197.0, 197.1, 196.2, 196.4
20190131, 196.55, 198.2, 196.05, 197.75
20190131, 197.8, 198.0, 196.9, 197.95
20190201, 177.65, 180.0, 158.15, 161.4
20190201, 161.45, 164.4, 161.1, 163.6
20190201, 163.55, 165.6, 163.5, 165.0
20190201, 165.0, 165.25, 163.85, 164.6
20190201, 164.6, 165.25, 164.15, 164.85
20190201, 164.8, 165.1, 164.25, 164.5
20190201, 164.4, 167.95, 164.4, 164.9
20190201, 164.85, 166.3, 164.5, 165.0
20190201, 165.0, 165.55, 164.55, 165.0
20190201, 165.0, 165.35, 162.05, 164.25
20190201, 164.25, 164.9, 160.05, 163.05
20190201, 163.2, 164.9, 162.25, 162.8
20190201, 162.8, 162.95, 160.3, 161.5
20190204, 162.5, 165.0, 156.5, 162.0
20190204, 162.15, 163.15, 161.05, 161.9
20190204, 161.9, 162.0, 160.0, 160.5
20190204, 160.45, 161.1, 159.6, 159.7
20190204, 159.85, 160.8, 159.5, 160.05
20190204, 160.05, 160.3, 159.65, 160.15
20190204, 160.25, 160.6, 157.85, 158.45
20190204, 158.45, 159.3, 158.15, 159.15
20190204, 159.15, 159.2, 158.2, 158.4
20190204, 158.5, 161.8, 158.15, 159.95
20190204, 160.0, 161.4, 159.8, 160.7
20190204, 160.7, 162.7, 160.6, 160.65
20190204, 160.65, 162.25, 160.25, 162.4
20190205, 158.95, 161.45, 157.25, 160.5
20190205, 160.35, 162.0, 159.9, 161.2
20190205, 161.25, 162.95, 161.0, 161.95
20190205, 161.85, 162.05, 160.7, 160.7
20190205, 160.65, 161.8, 160.55, 161.6
20190205, 161.6, 162.2, 161.35, 161.75
20190205, 161.8, 162.1, 161.5, 161.75
20190205, 161.75, 161.95, 160.7, 161.45
20190205, 161.4, 162.0, 160.95, 161.5
20190205, 161.45, 161.75, 160.0, 160.75
20190205, 160.8, 161.45, 160.7, 161.15
20190205, 161.15, 161.95, 160.85, 161.85
20190205, 161.9, 164.5, 161.55, 163.3
20190206, 163.65, 164.4, 161.5, 161.7
20190206, 161.7, 162.0, 160.55, 161.0
20190206, 161.1, 161.4, 157.75, 158.8
20190206, 158.8, 160.65, 158.8, 160.15
20190206, 160.2, 161.8, 160.15, 161.3
20190206, 161.3, 161.7, 160.35, 161.45
20190206, 161.65, 162.95, 161.1, 162.65
20190206, 162.65, 163.0, 161.6, 161.8
20190206, 161.85, 162.2, 161.55, 161.85
20190206, 161.9, 163.35, 161.85, 162.8
20190206, 162.75, 163.15, 162.1, 162.9
20190206, 162.9, 163.75, 162.6, 163.7
20190206, 163.7, 164.5, 163.45, 164.7
20190207, 163.2, 164.5, 162.35, 163.1
20190207, 163.1, 165.65, 162.75, 164.25
20190207, 164.25, 164.6, 163.3, 163.8
20190207, 163.75, 163.8, 162.6, 163.0
20190207, 163.0, 163.7, 162.9, 163.15
20190207, 163.15, 163.65, 162.75, 163.15
20190207, 163.05, 163.6, 162.75, 162.75
20190207, 162.8, 162.95, 161.8, 162.8
20190207, 162.75, 163.35, 162.65, 163.15
20190207, 163.3, 163.95, 163.0, 162.95
20190207, 163.0, 163.6, 162.6, 163.05
20190207, 163.05, 163.5, 162.5, 163.5
20190207, 163.4, 164.25, 163.0, 163.05
20190208, 162.2, 162.4, 160.2, 160.95
20190208, 161.0, 161.1, 159.75, 160.05
20190208, 160.0, 160.35, 158.6, 159.35
20190208, 159.35, 159.6, 158.8, 159.05
20190208, 158.95, 159.15, 157.6, 158.2
20190208, 158.25, 159.5, 157.85, 158.95
20190208, 158.95, 159.35, 158.0, 158.15
20190208, 158.2, 158.65, 157.2, 157.35
20190208, 157.35, 157.6, 156.5, 156.7
20190208, 156.75, 157.1, 155.0, 155.2
20190208, 155.2, 155.25, 149.7, 153.5
20190208, 153.45, 155.0, 153.2, 154.15
20190208, 154.05, 154.55, 153.75, 154.6
20190211, 153.5, 154.0, 150.4, 152.55
20190211, 152.65, 152.95, 151.0, 151.3
20190211, 151.3, 151.9, 147.8, 148.1
20190211, 148.2, 148.75, 147.7, 148.55
20190211, 148.55, 149.45, 147.35, 147.65
20190211, 147.65, 150.5, 147.05, 150.1
20190211, 150.2, 153.15, 149.85, 152.6
20190211, 152.6, 153.5, 152.2, 153.0
20190211, 152.95, 153.3, 151.35, 152.55
20190211, 152.55, 155.2, 151.9, 153.75
20190211, 153.75, 154.1, 152.8, 152.95
20190211, 152.85, 153.45, 151.55, 152.05
20190211, 152.0, 152.8, 151.75, 151.85
20190212, 151.6, 153.8, 150.7, 152.45
20190212, 152.4, 153.15, 152.0, 152.65
20190212, 152.6, 154.9, 152.6, 154.65
20190212, 154.6, 155.7, 154.2, 155.25
20190212, 155.25, 157.6, 155.1, 156.3
20190212, 156.3, 157.8, 156.3, 157.1
20190212, 157.1, 157.95, 156.7, 157.15
20190212, 157.15, 157.65, 156.35, 156.15
20190212, 156.2, 156.4, 155.55, 156.05
20190212, 156.05, 156.8, 155.4, 155.4
20190212, 155.45, 155.5, 153.0, 153.3
20190212, 153.35, 154.35, 152.55, 152.85
20190212, 152.75, 153.0, 152.4, 152.85
20190213, 154.0, 154.85, 152.55, 152.95
20190213, 152.95, 154.05, 152.65, 152.85
20190213, 152.9, 153.3, 151.5, 152.35
20190213, 152.45, 154.35, 152.4, 153.9
20190213, 153.9, 154.3, 153.5, 153.4
20190213, 153.4, 153.75, 152.55, 152.65
20190213, 152.7, 153.35, 152.65, 153.3
20190213, 153.3, 153.35, 152.25, 152.6
20190213, 152.5, 152.6, 151.55, 151.95
20190213, 151.95, 152.45, 151.6, 152.1
20190213, 152.0, 152.2, 150.6, 151.1
20190213, 151.0, 151.65, 150.4, 150.7
20190213, 150.65, 151.0, 150.15, 150.45
20190214, 150.45, 152.2, 149.3, 151.65
20190214, 151.7, 151.75, 150.05, 150.5
20190214, 150.65, 150.7, 149.15, 149.5
20190214, 149.45, 150.8, 149.3, 149.75
20190214, 149.75, 150.3, 149.2, 149.7
20190214, 149.7, 150.6, 149.7, 150.3
20190214, 150.35, 150.85, 150.0, 150.5
20190214, 150.55, 150.9, 150.3, 150.75
20190214, 150.75, 151.85, 150.3, 151.05
20190214, 151.1, 153.0, 150.55, 151.9
20190214, 151.9, 152.75, 151.6, 152.2
20190214, 152.2, 152.4, 151.1, 151.9
20190214, 151.95, 152.5, 151.3, 152.0
20190215, 151.2, 151.2, 147.85, 148.8
20190215, 148.8, 150.6, 148.3, 149.5
20190215, 149.5, 150.0, 149.1, 149.35
20190215, 149.35, 149.35, 148.0, 148.45
20190215, 148.35, 148.65, 148.15, 148.45
20190215, 148.45, 148.45, 146.3, 147.0
20190215, 147.0, 147.65, 146.4, 147.15
20190215, 147.2, 147.2, 145.8, 146.15
20190215, 146.15, 146.95, 146.05, 146.95
20190215, 146.95, 147.35, 146.5, 147.5
20190215, 147.5, 147.5, 146.45, 146.7
20190215, 146.7, 147.35, 146.35, 147.25
20190215, 147.2, 147.75, 147.15, 147.55
20190218, 148.85, 151.15, 148.15, 149.8
20190218, 149.8, 150.8, 149.65, 150.7
