Date,Open,High,Low,Close
20190101, 330.65, 332.75, 329.0, 329.9
20190101, 330.0, 330.5, 326.75, 328.5
20190101, 328.5, 329.6, 328.5, 329.05
20190101, 329.1, 329.35, 328.4, 329.5
20190101, 329.5, 329.85, 328.3, 329.4
20190101, 329.3, 329.45, 328.85, 329.3
20190101, 329.15, 329.45, 329.0, 329.25
20190101, 329.25, 329.3, 328.85, 329.15
20190101, 329.3, 330.0, 329.2, 329.55
20190101, 329.65, 330.25, 329.5, 329.7
20190101, 329.75, 329.75, 327.65, 328.0
20190101, 328.0, 328.35, 325.4, 327.4
20190101, 327.6, 328.0, 327.1, 328.7
20190102, 328.7, 331.3, 326.5, 329.4
20190102, 329.25, 330.3, 328.25, 329.45
20190102, 329.45, 330.25, 328.75, 329.15
20190102, 329.15, 329.2, 328.4, 328.5
20190102, 328.5, 328.7, 328.3, 328.5
20190102, 328.5, 328.95, 327.6, 328.65
20190102, 328.6, 328.75, 325.15, 325.4
20190102, 325.4, 325.75, 324.25, 324.55
20190102, 324.5, 326.15, 323.0, 324.1
20190102, 324.1, 325.2, 323.7, 325.3
20190102, 325.3, 326.3, 324.7, 326.25
20190102, 326.4, 327.25, 325.1, 325.2
20190102, 325.35, 325.7, 324.6, 325.4
20190103, 327.0, 327.0, 323.15, 323.4
20190103, 323.45, 325.7, 323.05, 325.15
20190103, 325.15, 326.7, 324.75, 324.95
20190103, 325.0, 325.45, 324.0, 325.0
20190103, 325.0, 325.35, 324.4, 324.6
20190103, 324.5, 325.75, 324.4, 325.25
20190103, 325.25, 325.35, 324.7, 325.05
20190103, 325.2, 326.15, 325.0, 326.0
20190103, 326.0, 326.5, 325.0, 325.35
20190103, 325.4, 325.75, 325.0, 325.1
20190103, 325.1, 325.95, 325.0, 325.2
20190103, 325.2, 327.95, 325.0, 325.8
20190103, 325.95, 325.95, 323.5, 324.35
20190104, 324.5, 326.85, 324.1, 324.25
20190104, 324.25, 324.3, 321.6, 321.95
20190104, 321.9, 321.9, 320.05, 320.8
20190104, 320.7, 324.6, 319.65, 323.5
20190104, 323.5, 324.5, 323.5, 324.0
20190104, 324.05, 325.5, 323.95, 325.15
20190104, 325.0, 325.5, 324.4, 325.0
20190104, 325.0, 325.35, 324.5, 324.75
20190104, 324.75, 324.9, 323.1, 323.25
20190104, 323.25, 324.3, 321.55, 322.05
20190104, 322.05, 323.4, 322.0, 323.25
20190104, 323.3, 325.0, 323.0, 323.8
20190104, 323.8, 325.0, 323.55, 324.0
20190107, 326.4, 326.75, 322.3, 324.35
20190107, 324.4, 325.0, 323.7, 324.7
20190107, 324.85, 325.5, 324.65, 324.8
20190107, 325.0, 325.05, 324.5, 324.65
20190107, 324.6, 324.65, 323.6, 323.95
20190107, 323.95, 324.15, 323.85, 324.05
20190107, 324.05, 324.05, 323.35, 324.05
20190107, 324.0, 324.2, 323.9, 324.0
20190107, 324.0, 324.15, 323.45, 324.15
20190107, 324.05, 325.1, 323.9, 324.55
20190107, 324.9, 325.05, 324.25, 325.0
20190107, 325.0, 325.1, 323.6, 324.1
20190107, 324.25, 324.55, 323.65, 324.0
20190108, 325.0, 325.8, 322.6, 323.2
20190108, 323.3, 324.55, 323.05, 324.2
20190108, 324.2, 324.5, 323.4, 324.0
20190108, 324.0, 324.0, 322.9, 323.75
20190108, 323.7, 323.9, 323.05, 323.45
20190108, 323.5, 323.85, 323.05, 324.05
20190108, 324.1, 325.05, 323.8, 325.05
20190108, 325.1, 325.7, 324.8, 325.5
20190108, 325.55, 326.95, 325.2, 326.35
20190108, 326.3, 327.45, 325.5, 326.65
20190108, 326.7, 327.5, 325.4, 325.95
20190108, 326.0, 326.15, 325.6, 326.0
20190108, 326.0, 326.1, 323.65, 323.65
20190109, 325.15, 328.9, 325.1, 327.8
20190109, 327.8, 329.25, 327.5, 328.45
20190109, 328.45, 329.5, 327.9, 329.0
20190109, 329.05, 330.3, 328.9, 329.45
20190109, 329.25, 330.8, 329.25, 330.5
20190109, 330.55, 332.45, 330.0, 332.0
20190109, 332.05, 332.6, 330.0, 330.3
20190109, 330.3, 330.6, 330.0, 330.3
20190109, 330.3, 330.6, 330.1, 330.25
20190109, 330.3, 330.3, 325.9, 327.5
20190109, 327.5, 329.25, 327.4, 328.85
20190109, 328.9, 330.1, 328.25, 329.15
20190109, 329.15, 329.45, 328.35, 328.3
20190110, 331.0, 331.05, 326.05, 326.85
20190110, 326.9, 327.15, 325.05, 325.35
20190110, 325.3, 325.5, 324.35, 324.4
20190110, 324.5, 325.6, 323.0, 323.9
20190110, 323.9, 325.5, 323.9, 324.95
20190110, 325.1, 325.4, 324.2, 325.15
20190110, 325.2, 325.35, 325.0, 325.3
20190110, 325.3, 325.45, 325.0, 325.7
20190110, 325.75, 325.8, 325.05, 325.25
20190110, 325.25, 326.15, 325.05, 325.3
20190110, 325.3, 325.5, 324.0, 325.1
20190110, 325.15, 326.3, 325.0, 325.9
20190110, 325.8, 326.6, 325.0, 325.25
20190111, 325.6, 325.65, 323.5, 324.55
20190111, 324.55, 324.95, 323.8, 324.3
20190111, 324.3, 324.8, 324.3, 324.85
20190111, 324.9, 326.0, 324.5, 324.8
20190111, 324.75, 324.8, 323.55, 323.85
20190111, 323.8, 324.55, 323.75, 324.05
20190111, 324.05, 325.2, 324.05, 325.05
20190111, 325.05, 325.75, 324.35, 323.95
20190111, 323.95, 325.45, 323.6, 325.45
20190111, 325.4, 325.45, 324.55, 325.05
20190111, 325.05, 327.75, 325.0, 327.15
20190111, 327.35, 329.25, 326.6, 329.45
20190111, 329.25, 329.65, 328.45, 329.0
20190114, 331.1, 331.1, 324.35, 325.0
20190114, 325.0, 325.4, 323.85, 324.1
20190114, 324.3, 326.0, 324.1, 325.05
20190114, 325.3, 325.6, 321.7, 322.3
20190114, 322.3, 322.3, 321.0, 321.55
20190114, 321.55, 321.6, 318.45, 319.1
20190114, 319.05, 319.4, 318.1, 319.15
20190114, 319.2, 319.5, 318.25, 318.5
20190114, 318.5, 318.6, 313.75, 315.65
20190114, 315.65, 315.7, 313.15, 315.4
20190114, 315.6, 316.0, 314.2, 314.4
20190114, 314.45, 315.1, 312.45, 313.6
20190114, 313.5, 313.65, 311.35, 312.5
20190115, 318.0, 320.1, 315.05, 319.6
20190115, 319.5, 322.05, 319.3, 320.6
20190115, 320.65, 323.7, 320.25, 323.4
20190115, 323.5, 324.95, 323.1, 324.3
20190115, 324.3, 329.5, 324.15, 329.55
20190115, 329.5, 332.3, 328.0, 329.1
20190115, 329.1, 330.8, 329.0, 329.55
20190115, 329.55, 329.7, 329.0, 329.5
20190115, 329.5, 329.55, 328.25, 328.65
20190115, 328.55, 329.4, 328.25, 328.3
20190115, 328.25, 329.4, 328.25, 328.85
20190115, 328.75, 330.95, 328.4, 330.15
20190115, 330.1, 330.5, 328.75, 329.7
20190116, 331.7, 333.1, 329.05, 330.4
20190116, 330.4, 331.25, 329.35, 330.55
20190116, 330.4, 337.5, 330.4, 336.45
20190116, 336.5, 338.45, 335.25, 338.25
20190116, 338.25, 339.4, 337.15, 339.1
20190116, 339.1, 339.8, 338.2, 338.9
20190116, 338.9, 339.0, 337.9, 337.4
20190116, 337.6, 337.8, 335.1, 336.0
20190116, 336.0, 337.85, 335.8, 336.55
20190116, 336.6, 338.25, 336.15, 336.9
20190116, 336.9, 337.4, 336.55, 336.6
20190116, 336.75, 337.35, 334.5, 336.5
20190116, 336.6, 337.8, 336.6, 337.0
20190117, 337.35, 338.6, 335.7, 336.8
20190117, 336.7, 336.75, 333.55, 336.45
20190117, 336.5, 336.6, 335.5, 335.45
20190117, 335.65, 336.5, 335.45, 335.95
20190117, 335.9, 336.35, 335.0, 336.2
20190117, 336.3, 337.0, 336.0, 336.4
20190117, 336.4, 336.4, 335.35, 335.95
20190117, 335.95, 336.0, 334.8, 335.3
20190117, 335.3, 335.3, 333.0, 333.15
20190117, 333.15, 333.5, 331.6, 333.0
20190117, 333.0, 333.95, 332.1, 332.3
20190117, 332.3, 336.0, 332.2, 335.85
20190117, 335.65, 336.0, 334.7, 335.45
20190118, 336.4, 337.8, 335.15, 336.45
20190118, 336.45, 336.8, 333.4, 334.3
20190118, 334.4, 339.35, 334.0, 337.75
20190118, 337.75, 341.4, 337.7, 340.55
20190118, 340.55, 341.0, 339.5, 340.75
20190118, 340.75, 343.4, 340.55, 342.3
20190118, 342.15, 343.2, 341.2, 342.3
20190118, 342.3, 342.65, 341.5, 341.85
20190118, 341.9, 342.4, 341.5, 341.7
20190118, 341.7, 342.75, 341.6, 341.9
20190118, 341.9, 346.35, 341.8, 345.25
20190118, 345.25, 346.3, 344.2, 345.85
20190118, 345.8, 347.5, 345.5, 346.85
20190121, 338.15, 341.25, 335.0, 336.55
20190121, 336.5, 340.0, 333.7, 338.0
20190121, 338.05, 338.65, 336.5, 336.85
20190121, 336.8, 338.0, 336.25, 337.7
20190121, 337.6, 337.9, 337.0, 337.2
20190121, 337.2, 338.0, 337.05, 337.9
20190121, 337.95, 344.9, 337.5, 340.4
20190121, 340.45, 342.8, 340.0, 340.55
20190121, 340.5, 341.0, 336.55, 338.75
20190121, 338.75, 338.9, 337.2, 338.3
20190121, 338.4, 340.0, 337.75, 338.55
20190121, 338.55, 340.9, 338.5, 340.0
20190121, 339.9, 340.05, 333.2, 336.5
20190122, 336.8, 341.95, 336.0, 340.8
20190122, 340.6, 342.75, 340.35, 341.1
20190122, 341.05, 341.05, 339.5, 340.55
20190122, 340.55, 341.5, 339.2, 339.65
20190122, 339.5, 340.5, 339.5, 340.05
20190122, 339.95, 340.5, 339.2, 339.95
20190122, 339.9, 341.5, 339.8, 340.75
20190122, 340.7, 341.5, 340.5, 340.95
20190122, 340.95, 342.0, 340.6, 341.5
20190122, 341.55, 343.3, 341.25, 342.15
20190122, 342.05, 342.9, 341.5, 342.4
20190122, 342.35, 346.0, 342.2, 345.15
20190122, 345.15, 349.6, 345.15, 348.25
20190123, 349.35, 353.25, 348.0, 350.4
20190123, 350.4, 352.5, 350.35, 352.2
20190123, 352.25, 354.0, 351.45, 353.9
20190123, 353.95, 355.2, 353.25, 354.6
20190123, 354.55, 354.65, 352.55, 353.45
20190123, 353.45, 355.1, 353.25, 354.0
20190123, 354.0, 354.9, 353.5, 353.75
20190123, 353.75, 355.8, 353.6, 355.0
20190123, 355.0, 355.5, 354.3, 354.25
20190123, 354.2, 354.95, 353.75, 354.0
20190123, 354.05, 354.45, 353.6, 353.8
20190123, 353.8, 353.8, 350.65, 351.85
20190123, 351.95, 352.0, 350.7, 351.0
20190124, 351.3, 353.0, 348.05, 348.5
20190124, 348.5, 349.5, 346.5, 348.5
20190124, 348.5, 350.5, 347.65, 349.75
20190124, 349.7, 350.5, 348.5, 351.15
20190124, 350.8, 351.05, 349.7, 350.05
20190124, 350.15, 350.7, 348.5, 349.35
20190124, 349.35, 349.8, 348.7, 349.8
20190124, 349.8, 350.5, 349.45, 350.25
20190124, 350.35, 350.4, 349.45, 349.55
20190124, 349.55, 352.0, 349.05, 351.4
20190124, 351.4, 352.0, 351.1, 351.75
20190124, 351.75, 352.0, 349.75, 351.95
20190124, 351.9, 352.0, 351.25, 351.7
20190125, 352.0, 358.35, 348.0, 357.45
20190125, 357.2, 357.85, 355.45, 356.1
20190125, 356.2, 356.5, 354.9, 354.85
20190125, 354.85, 356.85, 354.6, 356.5
20190125, 356.4, 356.45, 354.65, 354.2
20190125, 354.25, 354.4, 352.8, 353.5
20190125, 353.55, 353.75, 353.05, 353.6
20190125, 353.55, 353.75, 351.1, 351.35
20190125, 351.35, 352.45, 351.05, 351.6
20190125, 351.55, 352.0, 348.9, 351.0
20190125, 351.05, 353.95, 349.55, 353.35
20190125, 353.35, 354.9, 351.15, 353.65
20190125, 353.65, 354.7, 353.3, 354.2
20190128, 354.35, 361.85, 354.25, 360.2
20190128, 360.05, 362.5, 359.7, 362.15
20190128, 362.25, 362.7, 360.7, 361.5
20190128, 361.5, 361.75, 357.65, 359.3
20190128, 359.25, 359.7, 358.55, 358.95
20190128, 358.95, 359.1, 357.0, 358.4
20190128, 358.4, 358.65, 357.8, 357.9
20190128, 357.9, 358.5, 357.85, 358.45
20190128, 358.35, 359.1, 355.4, 355.85
20190128, 355.9, 357.0, 355.0, 356.0
20190128, 355.85, 356.05, 355.5, 355.95
20190128, 356.0, 356.0, 355.0, 355.25
20190128, 355.2, 355.3, 354.35, 355.0
20190129, 356.35, 358.4, 354.55, 356.25
20190129, 356.25, 357.05, 353.05, 354.2
20190129, 354.2, 355.95, 353.2, 355.7
20190129, 355.75, 357.0, 355.6, 356.3
20190129, 356.45, 358.2, 356.05, 358.05
20190129, 358.05, 358.1, 356.85, 357.4
20190129, 357.4, 358.95, 356.85, 357.2
20190129, 357.1, 357.45, 355.2, 355.4
20190129, 355.45, 357.35, 355.2, 357.0
20190129, 357.1, 357.5, 355.1, 355.85
20190129, 355.95, 356.5, 355.25, 355.8
20190129, 355.8, 359.95, 355.65, 359.5
20190129, 359.5, 360.8, 359.1, 359.25
20190130, 358.8, 364.7, 358.0, 363.65
20190130, 363.8, 367.65, 363.3, 366.25
20190130, 366.45, 366.55, 364.55, 365.25
20190130, 365.25, 366.25, 364.7, 365.05
20190130, 365.05, 365.4, 363.7, 364.25
20190130, 364.3, 364.45, 362.6, 363.05
20190130, 363.05, 363.15, 361.35, 362.7
20190130, 362.85, 363.2, 362.4, 362.95
20190130, 362.95, 364.3, 362.5, 363.55
20190130, 363.55, 363.75, 362.55, 363.2
20190130, 363.3, 363.4, 361.8, 362.05
20190130, 362.2, 363.6, 361.5, 363.3
20190130, 363.3, 363.8, 362.8, 363.5
20190131, 365.7, 366.6, 363.3, 366.2
20190131, 366.2, 367.45, 365.4, 366.5
20190131, 366.5, 366.75, 365.0, 366.0
20190131, 365.95, 366.2, 365.8, 365.9
20190131, 365.95, 366.2, 365.9, 365.95
20190131, 366.0, 368.7, 365.9, 368.25
20190131, 368.25, 368.35, 366.7, 366.95
20190131, 366.95, 367.1, 366.65, 367.0
20190131, 367.0, 368.25, 366.9, 367.8
20190131, 367.75, 368.8, 367.5, 367.65
20190131, 367.75, 368.4, 366.65, 366.85
20190131, 367.0, 371.4, 366.7, 369.1
20190131, 369.1, 369.15, 367.25, 368.0
20190201, 370.1, 371.65, 366.4, 368.75
20190201, 368.75, 368.95, 366.7, 367.2
20190201, 367.35, 368.05, 365.35, 365.7
20190201, 365.6, 367.1, 365.25, 365.0
20190201, 364.75, 365.35, 363.65, 364.45
20190201, 364.4, 365.0, 363.5, 364.3
20190201, 364.25, 366.9, 364.15, 365.7
20190201, 365.65, 367.4, 365.0, 367.25
20190201, 367.25, 368.3, 366.55, 367.25
20190201, 367.25, 368.3, 365.4, 366.05
20190201, 366.25, 369.65, 365.7, 369.0
20190201, 369.0, 372.45, 368.35, 372.05
20190201, 372.1, 372.4, 370.75, 371.0
20190204, 370.3, 374.7, 369.1, 372.9
20190204, 372.8, 373.5, 370.7, 371.15
20190204, 371.25, 371.7, 369.3, 369.75
20190204, 369.8, 370.45, 368.1, 368.6
20190204, 368.6, 371.3, 368.6, 369.85
20190204, 369.9, 370.35, 369.3, 369.85
20190204, 369.95, 369.95, 368.7, 368.85
20190204, 368.9, 370.5, 368.75, 370.4
20190204, 370.35, 370.55, 369.65, 370.0
20190204, 370.05, 372.0, 369.75, 371.45
20190204, 371.5, 372.4, 369.75, 371.45
20190204, 371.45, 372.1, 370.25, 371.05
20190204, 371.1, 371.8, 370.55, 371.25
20190205, 370.0, 370.8, 366.3, 366.15
20190205, 366.35, 368.85, 365.8, 368.15
20190205, 368.15, 368.95, 366.8, 367.45
20190205, 367.5, 368.95, 367.3, 368.75
20190205, 368.75, 370.5, 368.55, 369.1
20190205, 369.05, 370.25, 368.5, 370.1
20190205, 370.05, 370.2, 369.1, 369.9
20190205, 369.9, 371.9, 369.7, 370.8
20190205, 370.8, 371.35, 370.25, 371.4
20190205, 371.4, 372.2, 369.5, 369.7
20190205, 369.7, 371.3, 369.5, 370.0
20190205, 370.0, 370.05, 368.0, 368.6
20190205, 368.85, 369.4, 367.5, 368.65
20190206, 368.9, 374.95, 368.75, 373.5
20190206, 373.45, 374.1, 372.5, 372.8
20190206, 372.9, 373.0, 372.5, 372.85
20190206, 372.8, 373.0, 371.75, 371.65
20190206, 371.75, 373.0, 371.7, 372.45
20190206, 372.55, 372.7, 372.1, 372.4
20190206, 372.3, 372.65, 372.0, 372.45
20190206, 372.4, 372.65, 371.5, 372.4
20190206, 372.4, 373.0, 371.8, 372.95
20190206, 372.95, 373.0, 372.3, 372.8
20190206, 372.8, 372.9, 372.05, 371.4
20190206, 371.5, 372.65, 370.95, 372.4
20190206, 372.4, 372.65, 371.55, 372.8
20190207, 371.55, 373.3, 369.7, 369.85
20190207, 369.95, 371.85, 369.8, 370.75
20190207, 370.8, 371.3, 370.15, 371.25
20190207, 371.3, 372.65, 370.8, 372.75
20190207, 372.8, 373.75, 372.4, 373.1
20190207, 373.1, 373.3, 372.15, 373.25
20190207, 373.4, 374.1, 373.15, 373.2
20190207, 373.2, 373.8, 372.6, 373.7
