Stock,LSTM (MAE),SVR_Linear (MAE),SVR_Polynomial (MAE),SVR_Rbf (MAE),Random Forest (MAE),Gradient Boosting (MAE),LSTM (MSE),SVR_Linear (MSE),SVR_Polynomial (MSE),SVR_Rbf (MSE),Random Forest (MSE),Gradient Boosting (MSE),LSTM (Dir. Symm.),SVR_Linear (Dir. Symm.),SVR_Polynomial (Dir. Symm.),SVR_Rbf (Dir. Symm.),Random Forest (Dir. Symm.),Gradient Boosting (Dir. Symm.),Model
ADANIPORTS,1.0,0.6156904475252212,0.7669709307736552,0.7009972244772513,0.06669229718200465,0.0,1.0,0.515732726269168,0.8236820499165585,0.5734086330857462,0.059911163791415256,0.0,47.379603399433435,49.92917847025495,50.991501416430594,48.86685552407932,49.787535410764875,49.008498583569406,Random Forest
ASIANPAINT,0.5355191075389072,0.3421178207880905,0.601872792234265,1.0,0.05332927544433519,0.0,0.49385729016743296,0.21111622704295283,0.5652024200516361,1.0,0.01767672336014124,0.0,49.92917847025495,49.57507082152974,48.30028328611897,50.14164305949008,49.362606232294624,49.787535410764875,Gradient Boosting
AXISBANK,1.0,0.7719343949087527,0.6346663976964408,0.9992046092185232,0.02964118683720318,0.0,0.9113022597369622,0.7289236491928077,0.6222820300976608,1.0,0.016870199136662933,0.0,50.92067988668555,51.06232294617564,50.28328611898017,51.06232294617564,51.27478753541076,52.124645892351275,Gradient Boosting
BAJAJ-AUTO,0.3382654556941094,0.4921696196327877,0.7493173491757579,1.0,0.012852060228820295,0.0,0.4547114201055378,0.3400961229498525,0.8766722581691715,1.0,0.002978572948368702,0.0,50.63739376770538,50.77903682719547,50.212464589235125,51.41643059490085,51.13314447592068,50.0,Random Forest
BAJFINANCE,0.8534909417664025,0.7516025746318568,0.5960723394264538,1.0,0.013230691043793624,0.0,0.9271929205402337,0.6481154058605606,0.5985748041722524,0.9999999999999999,0.006000519863792159,0.0,50.77903682719547,51.13314447592068,48.937677053824366,51.41643059490085,48.79603399433427,48.30028328611897,Random Forest
BHARTIARTL,0.42858039906240974,0.3245366767774628,0.6479992273894641,1.0,0.07939851538311526,0.0,0.3631508890854316,0.22560165718408856,0.6357338743675036,1.0,0.04764624394776579,0.0,52.266288951841354,50.92067988668555,48.44192634560906,52.69121813031161,50.0,49.787535410764875,Gradient Boosting
BPCL,0.2957036259439855,0.2908819570637738,0.601232009014822,1.0,0.019004643719268494,0.0,0.21770550216354712,0.19120180435571632,0.5886531350662664,1.0000000000000002,0.008114501729664839,0.0,52.3371104815864,50.849858356940516,49.716713881019835,52.97450424929179,50.28328611898017,48.158640226628904,Random Forest
CIPLA,1.0,0.48135543094940925,0.7032973754680367,0.7160768614891195,0.09668452870733235,0.0,1.0,0.3102390110200552,0.7121980030427599,0.667039654862774,0.038421544124151996,0.0,50.14164305949008,49.57507082152974,48.79603399433427,49.64589235127479,49.07932011331444,51.48725212464589,Gradient Boosting
COALINDIA,0.5987314061597804,0.5967042935090903,0.9999999999999998,0.7758627487106959,0.05818895282345071,0.0,0.46522915950142313,0.4671128877867747,1.0000000000000002,0.6775354085287442,0.029090369192721288,0.0,50.212464589235125,50.70821529745042,48.22946175637394,50.49575070821529,49.362606232294624,50.35410764872521,Gradient Boosting
DRREDDY,0.12903497258323404,0.4378728061140291,0.35738865412170395,0.9999999999999998,0.0,0.03522321589257049,0.030700166121452765,0.0,0.06908338500926403,1.0,0.12272202618386086,0.2825134855033611,50.63739376770538,50.0,50.49575070821529,50.63739376770538,49.787535410764875,51.77053824362606,Gradient Boosting
